touchpoint_id,customer_id,region,touchpoint_date,touchpoint_type,channel,journey_stage,session_duration_min,converted,campaign
TP00000098,GM00015,Europe,2023-03-02,Social Media,In-Store,Consideration,0.2,0,Referral
TP00000099,GM00016,Europe,2023-08-15,Ad Click,Online,Awareness,7.6,1,Back to School
TP00000100,GM00016,Europe,2022-06-22,Email Open,In-Store,Retention,7.5,1,Organic
TP00000101,GM00016,Europe,2024-02-18,Support Call,In-Store,Purchase,0.7,0,Organic
TP00000102,GM00016,Europe,2022-11-14,Store Visit,Mobile App,Advocacy,17.0,0,Referral
TP00000103,GM00016,Europe,2024-01-31,Support Call,In-Store,Purchase,17.4,0,Spring Sale
TP00000104,GM00016,Europe,2022-07-07,Website Visit,Online,Purchase,3.1,1,Black Friday
TP00000105,GM00016,Europe,2024-02-29,Ad Click,Online,Retention,10.2,0,Spring Sale
TP00000106,GM00016,Europe,2023-06-02,Search,Online,Consideration,0.5,0,Referral
TP00000107,GM00016,Europe,2024-03-13,Social Media,Mobile App,Awareness,6.9,0,Organic
TP00000108,GM00016,Europe,2022-10-15,Search,Mobile App,Advocacy,19.0,0,Organic
TP00000109,GM00016,Europe,2023-12-01,Store Visit,Mobile App,Advocacy,11.0,0,Spring Sale
TP00000110,GM00017,Europe,2022-05-08,Email Open,Online,Awareness,17.4,0,Organic
TP00000111,GM00017,Europe,2022-05-18,Website Visit,Call Center,Awareness,0.9,1,Spring Sale
TP00000112,GM00017,Europe,2022-11-24,App Session,Online,Awareness,4.2,0,Organic
TP00000113,GM00017,Europe,2022-09-03,Ad Click,Online,Advocacy,8.8,0,Organic
TP00000114,GM00018,MENA,2023-03-31,Ad Click,Mobile App,Retention,3.1,0,Black Friday
TP00000115,GM00018,MENA,2022-11-13,Search,Mobile App,Purchase,0.2,0,Spring Sale
TP00000116,GM00018,MENA,2022-03-02,Search,In-Store,Awareness,2.6,1,Loyalty Push
TP00000117,GM00018,MENA,2024-01-28,Search,Call Center,Consideration,2.5,0,Organic
TP00000118,GM00018,MENA,2023-08-06,Email Open,Online,Purchase,12.4,0,Referral
TP00000119,GM00018,MENA,2024-02-16,Email Open,Online,Purchase,2.5,0,Loyalty Push
TP00000120,GM00018,MENA,2022-09-19,Website Visit,Mobile App,Purchase,1.1,0,Referral
TP00000121,GM00018,MENA,2024-01-06,Support Call,Call Center,Purchase,1.4,0,Referral
TP00000122,GM00018,MENA,2023-01-08,App Session,Online,Consideration,6.5,0,Spring Sale
TP00000123,GM00018,MENA,2024-04-07,Ad Click,In-Store,Consideration,1.9,0,Organic
TP00000124,GM00018,MENA,2023-07-25,Search,In-Store,Advocacy,7.6,0,Organic
TP00000125,GM00019,MENA,2022-03-22,App Session,Online,Consideration,4.0,0,Black Friday
TP00000126,GM00019,MENA,2024-01-17,Store Visit,Mobile App,Purchase,0.5,0,Back to School
TP00000127,GM00019,MENA,2022-07-21,Website Visit,Mobile App,Awareness,2.5,0,Organic
TP00000128,GM00019,MENA,2023-03-03,App Session,Online,Consideration,3.5,0,Spring Sale
TP00000129,GM00019,MENA,2022-11-11,Support Call,Mobile App,Awareness,21.0,0,Organic
TP00000130,GM00019,MENA,2023-06-14,Website Visit,In-Store,Consideration,9.0,0,Black Friday
TP00000131,GM00019,MENA,2022-04-17,Email Open,In-Store,Purchase,13.6,0,Black Friday
TP00000132,GM00019,MENA,2022-02-08,App Session,Mobile App,Awareness,9.7,0,Loyalty Push
TP00000133,GM00019,MENA,2023-02-18,Store Visit,Online,Purchase,0.5,0,Spring Sale
TP00000134,GM00020,Europe,2023-02-06,Social Media,Online,Consideration,8.6,0,Black Friday
TP00000135,GM00020,Europe,2022-12-09,Search,In-Store,Purchase,9.0,0,Black Friday
TP00000136,GM00020,Europe,2024-04-11,App Session,Online,Retention,13.0,0,Loyalty Push
TP00000137,GM00020,Europe,2023-12-26,Search,Online,Advocacy,2.4,0,Spring Sale
TP00000138,GM00020,Europe,2022-06-03,Store Visit,Online,Retention,6.7,0,Organic
TP00000139,GM00020,Europe,2023-11-20,Email Open,Mobile App,Purchase,2.0,1,Spring Sale
TP00000140,GM00020,Europe,2023-05-06,Social Media,In-Store,Awareness,15.3,1,Black Friday
TP00000141,GM00020,Europe,2022-12-30,Email Open,Mobile App,Purchase,19.1,0,Black Friday
TP00000142,GM00020,Europe,2023-02-22,Support Call,In-Store,Awareness,18.6,0,Organic
TP00000143,GM00021,North America,2022-10-23,Support Call,Online,Advocacy,0.2,0,Back to School
TP00000144,GM00021,North America,2023-07-13,Store Visit,Mobile App,Awareness,12.4,0,Organic
TP00000145,GM00021,North America,2022-10-23,Store Visit,Mobile App,Consideration,15.8,0,Referral
TP00000146,GM00021,North America,2022-02-27,Social Media,Online,Awareness,0.8,0,Spring Sale
TP00000147,GM00021,North America,2024-02-12,Search,In-Store,Retention,7.4,0,Black Friday
TP00000148,GM00021,North America,2023-11-19,Social Media,Online,Purchase,6.2,0,Referral
TP00000149,GM00021,North America,2023-11-08,Ad Click,In-Store,Retention,0.6,0,Spring Sale
TP00000150,GM00021,North America,2024-03-04,App Session,Mobile App,Purchase,0.2,0,Loyalty Push
TP00000151,GM00021,North America,2022-03-08,Email Open,Online,Consideration,0.6,0,Organic
TP00000152,GM00021,North America,2022-12-21,Store Visit,Online,Awareness,33.1,0,Organic
TP00000153,GM00022,Europe,2024-01-27,App Session,In-Store,Retention,10.9,0,Loyalty Push
TP00000154,GM00022,Europe,2024-04-26,Support Call,Online,Awareness,1.2,0,Referral
TP00000155,GM00022,Europe,2022-06-08,Ad Click,Online,Consideration,0.6,0,Spring Sale
TP00000156,GM00022,Europe,2023-10-05,Website Visit,Mobile App,Awareness,21.0,0,Organic
TP00000157,GM00022,Europe,2022-07-27,Email Open,In-Store,Awareness,0.2,0,Organic
TP00000158,GM00022,Europe,2022-05-13,Email Open,Mobile App,Consideration,36.6,0,Black Friday
TP00000159,GM00022,Europe,2022-11-15,Social Media,In-Store,Advocacy,3.1,0,Organic
TP00000160,GM00022,Europe,2022-02-04,App Session,In-Store,Consideration,16.7,1,Referral
TP00000161,GM00022,Europe,2023-04-21,Website Visit,Online,Consideration,1.6,0,Organic
TP00000162,GM00023,Europe,2024-02-11,Email Open,Online,Consideration,3.4,0,Back to School
TP00000163,GM00023,Europe,2022-01-27,Website Visit,Mobile App,Advocacy,5.6,0,Organic
TP00000164,GM00023,Europe,2022-10-12,App Session,Mobile App,Consideration,1.6,0,Referral
TP00000165,GM00023,Europe,2024-05-06,Store Visit,Online,Consideration,4.5,0,Black Friday
TP00000166,GM00023,Europe,2022-09-28,Email Open,Mobile App,Retention,1.7,0,Spring Sale
TP00000167,GM00023,Europe,2024-02-04,Store Visit,Mobile App,Advocacy,21.2,0,Organic
TP00000168,GM00023,Europe,2023-09-30,Social Media,Online,Awareness,2.7,0,Spring Sale
TP00000169,GM00023,Europe,2022-11-17,Ad Click,In-Store,Retention,15.5,0,Black Friday
TP00000170,GM00024,Europe,2023-12-14,Store Visit,Online,Awareness,1.3,0,Organic
TP00000171,GM00024,Europe,2024-03-25,Search,Online,Consideration,8.5,0,Loyalty Push
TP00000172,GM00024,Europe,2024-01-21,Store Visit,In-Store,Consideration,3.6,0,Spring Sale
TP00000173,GM00024,Europe,2023-08-07,Store Visit,Mobile App,Awareness,3.3,0,Spring Sale
TP00000174,GM00024,Europe,2023-11-22,Search,In-Store,Consideration,6.5,0,Black Friday
TP00000175,GM00024,Europe,2022-08-06,Website Visit,Mobile App,Purchase,0.2,0,Black Friday
TP00000176,GM00024,Europe,2022-06-25,Website Visit,Online,Purchase,2.6,0,Back to School
TP00000177,GM00024,Europe,2023-06-13,Email Open,In-Store,Consideration,2.7,0,Organic
TP00000178,GM00024,Europe,2022-06-07,Support Call,Online,Awareness,6.2,0,Organic
TP00000179,GM00024,Europe,2022-12-21,App Session,Mobile App,Consideration,0.9,0,Organic
TP00000180,GM00024,Europe,2023-12-28,App Session,Online,Retention,1.4,0,Organic
TP00000181,GM00024,Europe,2023-03-07,Support Call,Call Center,Awareness,7.4,0,Back to School
TP00000182,GM00025,MENA,2022-03-02,App Session,Mobile App,Purchase,1.5,0,Black Friday
TP00000183,GM00025,MENA,2023-04-02,Email Open,In-Store,Awareness,9.2,1,Organic
TP00000184,GM00025,MENA,2023-04-22,App Session,Call Center,Consideration,14.1,0,Back to School
TP00000185,GM00025,MENA,2022-10-25,Website Visit,Mobile App,Consideration,0.0,0,Organic
TP00000186,GM00025,MENA,2022-10-11,App Session,Online,Advocacy,2.0,0,Organic
TP00000187,GM00025,MENA,2024-03-13,Ad Click,Online,Retention,0.7,0,Referral
TP00000188,GM00025,MENA,2022-04-06,Store Visit,In-Store,Consideration,0.7,0,Referral
TP00000189,GM00025,MENA,2022-09-27,Social Media,In-Store,Awareness,3.3,0,Black Friday
TP00000190,GM00025,MENA,2022-05-05,Website Visit,Online,Advocacy,33.9,0,Referral
TP00000191,GM00025,MENA,2023-01-23,Search,Call Center,Consideration,13.0,0,Black Friday
TP00000192,GM00025,MENA,2022-03-23,Store Visit,In-Store,Retention,7.3,0,Spring Sale
TP00000193,GM00025,MENA,2022-04-22,Email Open,Mobile App,Retention,8.8,0,Loyalty Push
TP00000194,GM00025,MENA,2024-06-02,Store Visit,In-Store,Consideration,4.1,0,Referral
TP00000195,GM00026,North America,2022-10-03,Search,Online,Retention,4.7,0,Black Friday
TP00000196,GM00026,North America,2023-05-28,Store Visit,In-Store,Advocacy,14.5,0,Referral
TP00000197,GM00026,North America,2023-09-14,Email Open,Mobile App,Consideration,2.7,0,Organic
TP00000198,GM00027,Europe,2023-11-16,Search,Online,Consideration,2.6,0,Black Friday
TP00000199,GM00027,Europe,2022-12-07,Ad Click,Online,Purchase,21.7,0,Back to School
TP00000200,GM00027,Europe,2023-01-26,Store Visit,In-Store,Awareness,0.4,0,Referral
TP00000201,GM00027,Europe,2023-05-27,Store Visit,Mobile App,Retention,0.5,0,Loyalty Push
TP00000202,GM00028,MENA,2023-11-10,Support Call,In-Store,Consideration,12.2,0,Spring Sale
TP00000203,GM00028,MENA,2022-01-05,Store Visit,Online,Purchase,6.3,1,Back to School
TP00000204,GM00028,MENA,2023-03-07,Social Media,Mobile App,Purchase,2.0,0,Organic
TP00000205,GM00028,MENA,2022-06-13,Social Media,Mobile App,Consideration,39.9,0,Spring Sale
TP00000206,GM00028,MENA,2023-01-18,Website Visit,Online,Consideration,8.8,0,Loyalty Push
TP00000207,GM00028,MENA,2023-07-03,Support Call,Mobile App,Purchase,4.2,0,Spring Sale
TP00000208,GM00028,MENA,2022-08-18,Search,Online,Awareness,9.4,0,Organic
TP00000209,GM00028,MENA,2022-02-13,Store Visit,In-Store,Consideration,4.9,0,Black Friday
TP00000210,GM00028,MENA,2022-07-24,Support Call,In-Store,Purchase,9.9,0,Referral
TP00000211,GM00028,MENA,2022-01-26,Website Visit,Online,Consideration,10.1,0,Back to School
TP00000212,GM00029,North America,2023-12-16,Search,Online,Purchase,6.4,0,Black Friday
TP00000213,GM00029,North America,2023-04-04,Email Open,Mobile App,Consideration,2.6,0,Organic
TP00000214,GM00029,North America,2022-08-03,Store Visit,In-Store,Consideration,10.4,0,Back to School
TP00000215,GM00029,North America,2022-07-08,Email Open,In-Store,Consideration,1.5,0,Organic
TP00000216,GM00029,North America,2024-06-16,Website Visit,In-Store,Awareness,3.6,0,Loyalty Push
TP00000217,GM00029,North America,2024-05-12,Email Open,In-Store,Consideration,11.7,0,Back to School
TP00000218,GM00029,North America,2024-05-23,Support Call,Online,Awareness,9.7,0,Back to School
TP00000219,GM00029,North America,2023-02-09,Email Open,Mobile App,Advocacy,2.7,0,Back to School
TP00000220,GM00029,North America,2022-06-02,App Session,Mobile App,Awareness,21.9,0,Organic
TP00000221,GM00030,Central Asia,2023-12-13,Store Visit,Mobile App,Awareness,16.5,0,Back to School
TP00000222,GM00030,Central Asia,2024-04-24,Support Call,In-Store,Consideration,29.7,1,Spring Sale
TP00000223,GM00030,Central Asia,2022-05-25,Search,Call Center,Advocacy,5.4,0,Back to School
TP00000224,GM00030,Central Asia,2024-01-23,App Session,Online,Purchase,2.5,0,Referral
TP00000225,GM00031,North America,2022-09-20,Ad Click,Mobile App,Consideration,6.8,0,Spring Sale
TP00000226,GM00031,North America,2023-07-20,Email Open,Mobile App,Consideration,17.2,0,Referral
TP00000227,GM00031,North America,2022-09-29,App Session,Online,Consideration,5.0,0,Spring Sale
TP00000228,GM00031,North America,2024-04-29,Search,In-Store,Purchase,10.6,1,Organic
TP00000229,GM00031,North America,2023-12-23,Ad Click,Mobile App,Retention,1.4,0,Spring Sale
TP00000230,GM00031,North America,2023-04-18,Website Visit,Mobile App,Consideration,1.8,0,Organic
TP00000231,GM00032,Europe,2022-03-04,App Session,In-Store,Advocacy,11.5,0,Black Friday
TP00000232,GM00032,Europe,2022-09-23,Ad Click,In-Store,Retention,0.2,0,Organic
TP00000233,GM00032,Europe,2023-05-12,Ad Click,Mobile App,Retention,21.7,0,Back to School
TP00000234,GM00032,Europe,2023-03-22,App Session,In-Store,Retention,3.6,1,Organic
TP00000235,GM00032,Europe,2024-03-31,Email Open,Mobile App,Awareness,7.0,1,Organic
TP00000236,GM00032,Europe,2024-01-17,Ad Click,Online,Awareness,0.8,0,Black Friday
TP00000237,GM00032,Europe,2023-06-05,Email Open,Call Center,Retention,3.6,0,Back to School
TP00000238,GM00032,Europe,2023-07-04,Support Call,Online,Advocacy,14.5,1,Black Friday
TP00000239,GM00033,Central Asia,2022-05-04,Social Media,In-Store,Retention,3.5,1,Black Friday
TP00000240,GM00033,Central Asia,2024-05-14,Support Call,Mobile App,Advocacy,4.4,1,Black Friday
TP00000241,GM00033,Central Asia,2022-04-09,App Session,Online,Purchase,0.1,0,Loyalty Push
TP00000242,GM00033,Central Asia,2022-01-08,Support Call,Online,Purchase,0.3,0,Referral
TP00000243,GM00033,Central Asia,2022-10-31,Ad Click,In-Store,Awareness,2.1,0,Organic
TP00000244,GM00033,Central Asia,2024-03-14,Website Visit,Online,Purchase,2.8,1,Spring Sale
TP00000245,GM00033,Central Asia,2024-01-13,App Session,In-Store,Awareness,16.9,0,Organic
TP00000246,GM00033,Central Asia,2022-08-12,Website Visit,In-Store,Consideration,8.1,0,Spring Sale
TP00000247,GM00033,Central Asia,2023-05-13,App Session,In-Store,Consideration,32.7,0,Organic
TP00000248,GM00033,Central Asia,2024-03-16,Social Media,In-Store,Consideration,4.2,0,Back to School
TP00000249,GM00034,Southeast Asia,2023-06-04,Website Visit,Online,Awareness,3.0,1,Referral
TP00000250,GM00034,Southeast Asia,2024-04-15,Ad Click,Mobile App,Consideration,6.5,0,Back to School
TP00000251,GM00034,Southeast Asia,2023-02-03,Store Visit,Mobile App,Consideration,9.5,0,Black Friday
TP00000252,GM00034,Southeast Asia,2023-10-20,Email Open,Online,Advocacy,1.7,1,Spring Sale
TP00000253,GM00034,Southeast Asia,2024-04-10,App Session,In-Store,Consideration,4.3,0,Referral
TP00000254,GM00034,Southeast Asia,2022-12-26,Email Open,Call Center,Retention,17.3,0,Loyalty Push
TP00000255,GM00034,Southeast Asia,2023-01-12,App Session,Mobile App,Consideration,22.4,0,Organic
TP00000256,GM00034,Southeast Asia,2023-11-13,Store Visit,Mobile App,Awareness,0.7,0,Referral
TP00000257,GM00034,Southeast Asia,2024-01-26,Store Visit,Mobile App,Purchase,10.2,1,Referral
TP00000258,GM00034,Southeast Asia,2022-12-23,App Session,Online,Retention,11.6,0,Organic
TP00000259,GM00034,Southeast Asia,2022-12-06,Search,Online,Retention,2.6,0,Black Friday
TP00000260,GM00034,Southeast Asia,2022-09-30,App Session,In-Store,Consideration,0.0,0,Organic
TP00000261,GM00035,Southeast Asia,2023-10-25,Search,In-Store,Purchase,4.6,0,Loyalty Push
TP00000262,GM00035,Southeast Asia,2022-06-16,Ad Click,Online,Awareness,1.1,0,Organic
TP00000263,GM00035,Southeast Asia,2023-12-22,App Session,Mobile App,Awareness,16.3,0,Black Friday
TP00000264,GM00035,Southeast Asia,2022-12-10,Support Call,In-Store,Consideration,2.2,0,Referral
TP00000265,GM00035,Southeast Asia,2023-06-10,Store Visit,Online,Advocacy,1.1,0,Referral
TP00000266,GM00035,Southeast Asia,2022-09-23,Store Visit,Online,Purchase,11.1,1,Referral
TP00000267,GM00036,North America,2024-02-03,Search,In-Store,Consideration,14.2,0,Loyalty Push
TP00000268,GM00036,North America,2023-11-18,Social Media,In-Store,Awareness,2.1,0,Organic
TP00000269,GM00036,North America,2022-09-01,Ad Click,Online,Awareness,7.0,0,Organic
TP00000270,GM00036,North America,2024-01-07,Store Visit,Mobile App,Advocacy,10.9,0,Organic
TP00000271,GM00036,North America,2022-03-17,Support Call,In-Store,Retention,12.0,0,Loyalty Push
TP00000272,GM00036,North America,2022-08-30,Email Open,Call Center,Consideration,0.5,0,Spring Sale
TP00000273,GM00036,North America,2023-01-30,Social Media,In-Store,Advocacy,14.8,0,Referral
TP00000274,GM00036,North America,2023-11-15,Social Media,Online,Awareness,1.7,0,Referral
TP00000275,GM00037,Europe,2023-02-20,App Session,Online,Awareness,10.7,0,Organic
TP00000276,GM00037,Europe,2024-06-07,Search,Mobile App,Consideration,1.2,0,Loyalty Push
TP00000277,GM00037,Europe,2023-01-05,Email Open,Mobile App,Purchase,4.4,0,Organic
TP00000278,GM00037,Europe,2022-07-01,Website Visit,Mobile App,Advocacy,5.3,0,Loyalty Push
TP00000279,GM00037,Europe,2022-09-03,Store Visit,Online,Advocacy,9.9,0,Black Friday
TP00000280,GM00037,Europe,2024-04-25,App Session,In-Store,Consideration,17.4,0,Referral
TP00000281,GM00037,Europe,2023-05-12,App Session,Online,Awareness,5.4,0,Black Friday
TP00000282,GM00037,Europe,2022-01-22,Store Visit,Online,Consideration,2.0,0,Organic
TP00000283,GM00037,Europe,2022-06-03,Search,In-Store,Consideration,11.3,0,Loyalty Push
TP00000284,GM00037,Europe,2023-12-15,Website Visit,Online,Awareness,2.2,1,Loyalty Push
TP00000285,GM00037,Europe,2023-11-18,Ad Click,Online,Retention,0.8,0,Spring Sale
TP00000286,GM00037,Europe,2022-07-21,Email Open,Mobile App,Purchase,17.6,1,Back to School
TP00000287,GM00037,Europe,2024-04-20,Website Visit,Call Center,Advocacy,6.2,0,Referral
