customer_id,last_purchase_date,days_since_last,churned
GM00107,2022-08-05,696,1
GM00108,2024-02-16,136,0
GM00109,2022-03-02,852,1
GM00110,2024-03-29,94,0
GM00111,2024-04-11,81,0
GM00112,2024-03-12,111,0
GM00113,2024-03-30,93,0
GM00114,2024-05-31,31,0
GM00115,2024-03-11,112,0
GM00116,2024-05-06,56,0
GM00117,2023-09-25,280,1
GM00118,2024-01-27,156,0
GM00119,2024-03-11,112,0
GM00120,2023-10-04,271,1
GM00121,2024-05-08,54,0
GM00122,2023-10-21,254,1
GM00123,2024-02-14,138,0
GM00124,2023-12-27,187,1
GM00125,2023-04-07,451,1
GM00126,2024-04-09,83,0
GM00127,2023-06-21,376,1
GM00128,2023-08-30,306,1
GM00129,2024-06-12,19,0
GM00130,2024-06-06,25,0
GM00131,2024-06-04,27,0
GM00132,2024-06-01,30,0
GM00133,2024-03-21,102,0
GM00134,2024-05-17,45,0
GM00135,2024-04-03,89,0
GM00136,2023-06-25,372,1
GM00137,2024-05-23,39,0
GM00138,2024-03-20,103,0
GM00139,2024-05-18,44,0
GM00140,2024-02-05,147,0
GM00141,2024-02-06,146,0
GM00142,2024-05-30,32,0
GM00143,2022-12-09,570,1
GM00144,2024-03-03,120,0
GM00145,2024-05-23,39,0
GM00146,2024-05-26,36,0
GM00147,2024-02-28,124,0
GM00148,2024-05-30,32,0
GM00149,2023-12-26,188,1
GM00150,2024-06-16,15,0
GM00151,2024-06-14,17,0
GM00152,2022-09-14,656,1
GM00153,2024-06-01,30,0
GM00154,2023-08-01,335,1
GM00155,2024-06-11,20,0
GM00156,2024-04-04,88,0
GM00157,2024-04-30,62,0
GM00158,2024-03-15,108,0
GM00159,2023-11-09,235,1
GM00160,2024-06-11,20,0
GM00161,2024-04-29,63,0
GM00162,2024-06-05,26,0
GM00163,2024-06-15,16,0
GM00164,2024-06-09,22,0
GM00165,2024-04-28,64,0
GM00166,2024-06-16,15,0
GM00167,2024-03-06,117,0
GM00168,2023-11-01,243,1
GM00169,2023-11-21,223,1
GM00170,2024-06-08,23,0
GM00171,2024-05-22,40,0
GM00172,2024-03-05,118,0
GM00173,2024-06-05,26,0
GM00174,2024-06-11,20,0
GM00175,2024-06-10,21,0
GM00176,2024-05-02,60,0
GM00177,2024-05-09,53,0
GM00178,2024-01-15,168,0
GM00179,2024-05-21,41,0
GM00180,2024-05-12,50,0
GM00181,2024-06-07,24,0
GM00182,2024-04-14,78,0
GM00183,2024-03-12,111,0
GM00184,2023-06-26,371,1
GM00185,2024-02-16,136,0
GM00186,2024-06-15,16,0
GM00187,2023-06-03,394,1
GM00188,2024-01-25,158,0
GM00189,2022-06-19,743,1
GM00190,2024-04-08,84,0
GM00191,2024-05-22,40,0
GM00192,2024-05-20,42,0
GM00193,2024-06-04,27,0
GM00194,2024-04-16,76,0
GM00195,2023-07-12,355,1
GM00196,2024-02-19,133,0
GM00197,2024-05-18,44,0
GM00198,2023-05-07,421,1
GM00199,2024-02-29,123,0
GM00200,2024-05-03,59,0
GM00201,2024-05-11,51,0
GM00202,2024-05-06,56,0
GM00203,2024-04-07,85,0
GM00204,2023-12-27,187,1
GM00205,2024-05-25,37,0
GM00206,2024-05-23,39,0
GM00207,2024-05-03,59,0
GM00208,2024-05-25,37,0
GM00209,2024-05-23,39,0
GM00210,2023-10-18,257,1
GM00211,2023-11-21,223,1
GM00212,2024-06-04,27,0
GM00213,2023-11-08,236,1
GM00214,2024-06-08,23,0
GM00215,2024-01-07,176,0
GM00216,2024-04-13,79,0
GM00217,2024-02-26,126,0
GM00218,2024-03-30,93,0
GM00219,2024-05-20,42,0
GM00220,2024-03-08,115,0
GM00221,2024-05-29,33,0
GM00222,2023-07-22,345,1
GM00223,2024-03-20,103,0
GM00224,2024-05-19,43,0
GM00225,2022-12-17,562,1
GM00226,2024-06-18,13,0
GM00227,2024-06-04,27,0
GM00228,2024-05-16,46,0
GM00229,2024-05-24,38,0
GM00230,2024-06-08,23,0
GM00231,2024-06-09,22,0
GM00232,2024-05-31,31,0
GM00233,2023-12-12,202,1
GM00234,2023-10-16,259,1
GM00235,2023-12-11,203,1
GM00236,2023-10-24,251,1
GM00237,2023-07-23,344,1
GM00238,2023-11-17,227,1
GM00239,2023-05-03,425,1
GM00240,2024-02-14,138,0
GM00241,2024-05-27,35,0
GM00242,2024-05-30,32,0
GM00243,2024-05-02,60,0
GM00244,2024-06-14,17,0
GM00245,2023-07-04,363,1
GM00246,2024-06-18,13,0
GM00247,2024-03-29,94,0
GM00248,2024-06-14,17,0
GM00249,2024-05-07,55,0
GM00250,2024-05-09,53,0
GM00251,2024-06-15,16,0
GM00252,2023-04-29,429,1
GM00253,2024-05-11,51,0
GM00254,2024-01-01,182,1
GM00255,2023-11-20,224,1
GM00256,2024-06-16,15,0
GM00257,2024-05-10,52,0
GM00258,2024-03-04,119,0
GM00259,2024-01-25,158,0
GM00260,2024-06-09,22,0
GM00261,2024-05-25,37,0
GM00262,2023-12-30,184,1
GM00263,2024-06-10,21,0
GM00264,2024-04-22,70,0
GM00265,2024-06-01,30,0
GM00266,2024-06-16,15,0
GM00267,2024-05-22,40,0
GM00268,2024-05-27,35,0
GM00269,2024-06-18,13,0
GM00270,2024-01-25,158,0
GM00271,2024-03-25,98,0
GM00272,2024-04-02,90,0
GM00273,2023-12-28,186,1
GM00274,2024-02-15,137,0
GM00275,2024-02-26,126,0
GM00276,2023-11-13,231,1
GM00277,2024-06-16,15,0
GM00278,2024-06-07,24,0
GM00279,2024-05-09,53,0
GM00280,2023-09-06,299,1
GM00281,2023-08-21,315,1
GM00282,2024-06-12,19,0
GM00283,2024-05-31,31,0
GM00284,2023-03-31,458,1
GM00285,2023-08-15,321,1
GM00286,2023-04-21,437,1
GM00287,2024-05-24,38,0
GM00288,2024-02-11,141,0
GM00289,2023-10-09,266,1
GM00290,2024-06-18,13,0
GM00291,2024-06-14,17,0
GM00292,2024-06-16,15,0
GM00293,2024-06-05,26,0
GM00294,2024-01-30,153,0
GM00295,2024-04-04,88,0
GM00296,2024-05-08,54,0
GM00297,2024-05-20,42,0
GM00298,2023-12-15,199,1
GM00299,2024-02-10,142,0
GM00300,2024-01-18,165,0
GM00301,2024-04-03,89,0
GM00302,2024-05-07,55,0
GM00303,2024-03-08,115,0
GM00304,2023-11-02,242,1
GM00305,2024-06-18,13,0
GM00306,2023-06-04,393,1
GM00307,2024-05-16,46,0
GM00308,2024-04-16,76,0
GM00309,2024-02-08,144,0
GM00310,2024-05-12,50,0
GM00311,2023-10-18,257,1
GM00312,2024-04-30,62,0
GM00313,2023-04-25,433,1
GM00314,2023-12-31,183,1
GM00315,2024-02-22,130,0
GM00316,2024-06-13,18,0
GM00317,2023-11-29,215,1
GM00318,2024-04-03,89,0
GM00319,2024-05-30,32,0
GM00320,2024-05-20,42,0
GM00321,2024-06-05,26,0
GM00322,2024-04-10,82,0
GM00323,2024-03-03,120,0
GM00324,2024-05-19,43,0
GM00325,2024-01-30,153,0
GM00326,2024-03-30,93,0
GM00327,2024-05-09,53,0
GM00328,2022-03-03,851,1
GM00329,2024-06-01,30,0
GM00330,2024-06-14,17,0
GM00331,2024-02-11,141,0
GM00332,2024-05-29,33,0
GM00333,2024-05-19,43,0
GM00334,2024-05-15,47,0
GM00335,2024-06-02,29,0
GM00336,2024-02-16,136,0
GM00337,2024-04-19,73,0
GM00338,2024-03-09,114,0
GM00339,2024-05-02,60,0
GM00340,2024-03-11,112,0
GM00341,2024-03-08,115,0
GM00342,2024-03-14,109,0
GM00343,2024-04-04,88,0
GM00344,2024-06-08,23,0
GM00345,2023-09-04,301,1
GM00346,2024-03-24,99,0
GM00347,2024-01-20,163,0
GM00348,2024-06-10,21,0
GM00349,2024-06-04,27,0
GM00350,2024-05-09,53,0
GM00351,2024-06-11,20,0
GM00352,2024-02-18,134,0
GM00353,2024-05-24,38,0
GM00354,2023-12-17,197,1
GM00355,2024-04-08,84,0
GM00356,2024-02-24,128,0
GM00357,2024-05-03,59,0
GM00358,2024-02-15,137,0
GM00359,2024-04-22,70,0
GM00360,2024-05-25,37,0
GM00361,2024-06-11,20,0
GM00362,2024-06-02,29,0
GM00363,2024-05-10,52,0
GM00364,2024-06-10,21,0
GM00365,2024-05-29,33,0
GM00366,2024-05-30,32,0
GM00367,2022-05-25,768,1
GM00368,2023-11-04,240,1
GM00369,2024-06-14,17,0
GM00370,2023-05-12,416,1
GM00371,2024-03-28,95,0
GM00372,2024-03-26,97,0
GM00373,2024-04-09,83,0
GM00374,2024-05-26,36,0
GM00375,2024-05-24,38,0
GM00376,2024-01-19,164,0
GM00377,2024-05-01,61,0
GM00378,2023-09-26,279,1
GM00379,2024-06-12,19,0
GM00380,2024-01-25,158,0
GM00381,2024-06-03,28,0
GM00382,2023-04-03,455,1
GM00383,2024-05-26,36,0
GM00384,2024-04-26,66,0
GM00385,2023-08-19,317,1
GM00386,2024-01-08,175,0
GM00387,2024-02-16,136,0
GM00388,2023-03-09,480,1
GM00389,2024-03-04,119,0
GM00390,2024-05-22,40,0
GM00391,2024-05-12,50,0
GM00392,2024-04-19,73,0
GM00393,2024-05-15,47,0
GM00394,2024-05-11,51,0
GM00395,2024-05-25,37,0
GM00396,2024-06-15,16,0
GM00397,2024-05-13,49,0
GM00398,2024-02-04,148,0
GM00399,2024-05-22,40,0
GM00400,2024-03-10,113,0
GM00401,2024-03-20,103,0
GM00402,2023-12-09,205,1
GM00403,2024-04-12,80,0
GM00404,2024-03-01,122,0
GM00405,2024-05-13,49,0
GM00406,2023-12-02,212,1
GM00407,2024-04-07,85,0
GM00408,2023-10-03,272,1
GM00409,2023-07-19,348,1
GM00410,2024-03-20,103,0
GM00411,2024-04-27,65,0
GM00412,2023-12-20,194,1
GM00413,2023-07-29,338,1
GM00414,2023-01-16,532,1
GM00415,2024-04-05,87,0
GM00416,2023-01-17,531,1
GM00417,2024-04-19,73,0
GM00418,2024-01-22,161,0
GM00419,2023-05-24,404,1
GM00420,2024-06-05,26,0
GM00421,2024-05-20,42,0
GM00422,2024-05-30,32,0
GM00423,2024-05-08,54,0
GM00424,2024-06-04,27,0
GM00425,2024-04-28,64,0
GM00426,2023-04-02,456,1
GM00427,2024-04-05,87,0
GM00428,2024-01-03,180,0
GM00429,2024-03-30,93,0
GM00430,2024-06-08,23,0
GM00431,2024-05-10,52,0
GM00432,2024-06-01,30,0
GM00433,2024-03-27,96,0
GM00434,2023-11-21,223,1
GM00435,2024-04-11,81,0
GM00436,2024-03-23,100,0
GM00437,2024-06-08,23,0
GM00438,2024-05-11,51,0
GM00439,2024-05-03,59,0
GM00440,2024-05-07,55,0
GM00441,2024-04-18,74,0
GM00442,2023-01-18,530,1
GM00443,2024-03-09,114,0
GM00444,2024-05-13,49,0
GM00445,2024-04-05,87,0
GM00446,2023-12-01,213,1
GM00447,2024-03-26,97,0
GM00448,2024-03-30,93,0
GM00449,2023-02-25,492,1
GM00450,2024-02-25,127,0
GM00451,2024-03-15,108,0
GM00452,2024-01-08,175,0
GM00453,2023-12-14,200,1
GM00454,2024-03-20,103,0
GM00455,2024-03-05,118,0
GM00456,2024-05-31,31,0
GM00457,2024-06-07,24,0
GM00458,2024-03-18,105,0
GM00459,2024-06-03,28,0
GM00460,2024-06-08,23,0
GM00461,2024-04-10,82,0
GM00462,2024-04-26,66,0
GM00463,2023-09-10,295,1
GM00464,2024-03-17,106,0
GM00465,2024-02-26,126,0
GM00466,2023-04-08,450,1
GM00467,2024-03-21,102,0
GM00468,2024-05-15,47,0
GM00469,2023-10-20,255,1
GM00470,2024-05-23,39,0
GM00471,2023-09-28,277,1
GM00472,2024-03-27,96,0
GM00473,2023-01-19,529,1
GM00474,2024-03-11,112,0
GM00475,2024-03-22,101,0
GM00476,2024-01-14,169,0
GM00477,2024-01-20,163,0
GM00478,2024-03-29,94,0
GM00479,2024-06-15,16,0
GM00480,2023-06-15,382,1
GM00481,2024-05-07,55,0
GM00482,2024-06-11,20,0
GM00483,2024-02-21,131,0
GM00484,2023-03-20,469,1
GM00485,2024-04-22,70,0
GM00486,2024-05-10,52,0
GM00487,2024-05-22,40,0
GM00488,2023-02-26,491,1
GM00489,2024-05-30,32,0
GM00490,2023-12-01,213,1
GM00491,2022-10-29,611,1
GM00492,2023-11-03,241,1
GM00493,2024-05-13,49,0
GM00494,2023-11-19,225,1
GM00495,2023-03-25,464,1
GM00496,2024-06-12,19,0
GM00497,2024-06-13,18,0
GM00498,2024-05-07,55,0
GM00499,2023-10-13,262,1
GM00500,2024-05-09,53,0
GM00501,2024-06-05,26,0
GM00502,2024-06-07,24,0
GM00503,2023-09-01,304,1
GM00504,2024-02-22,130,0
GM00505,2024-05-13,49,0
GM00506,2024-01-13,170,0
GM00507,2024-05-27,35,0
GM00508,2024-05-07,55,0
GM00509,2024-06-10,21,0
GM00510,2024-04-13,79,0
GM00511,2023-05-10,418,1
GM00512,2023-01-07,541,1
GM00513,2024-05-11,51,0
GM00514,2023-12-01,213,1
GM00515,2024-06-03,28,0
GM00516,2024-03-11,112,0
GM00517,2024-06-15,16,0
GM00518,2024-05-15,47,0
GM00519,2024-06-17,14,0
GM00520,2024-04-17,75,0
GM00521,2024-04-02,90,0
GM00522,2023-07-22,345,1
GM00523,2024-05-10,52,0
GM00524,2024-04-05,87,0
GM00525,2024-04-24,68,0
GM00526,2024-04-29,63,0
GM00527,2023-08-13,323,1
GM00528,2024-05-09,53,0
GM00529,2024-01-10,173,0
GM00530,2024-04-24,68,0
GM00531,2024-06-18,13,0
GM00532,2024-05-20,42,0
GM00533,2024-04-15,77,0
GM00534,2023-10-26,249,1
GM00535,2024-05-09,53,0
GM00536,2023-12-10,204,1
GM00537,2024-04-18,74,0
GM00538,2024-01-26,157,0
GM00539,2024-03-15,108,0
GM00540,2024-04-27,65,0
GM00541,2024-05-15,47,0
GM00542,2024-06-05,26,0
GM00543,2024-02-18,134,0
GM00544,2023-08-10,326,1
GM00545,2024-03-21,102,0
GM00546,2024-05-19,43,0
GM00547,2024-05-28,34,0
GM00548,2024-02-07,145,0
GM00549,2024-05-13,49,0
GM00550,2022-09-22,648,1
GM00551,2024-05-12,50,0
GM00552,2024-06-08,23,0
GM00553,2024-05-09,53,0
GM00554,2023-07-09,358,1
GM00555,2024-03-30,93,0
GM00556,2023-12-11,203,1
GM00557,2024-06-05,26,0
GM00558,2024-04-06,86,0
GM00559,2024-05-12,50,0
GM00560,2024-05-27,35,0
GM00561,2024-05-31,31,0
GM00562,2024-05-13,49,0
GM00563,2023-12-06,208,1
GM00564,2024-06-01,30,0
GM00565,2024-05-25,37,0
GM00566,2024-03-16,107,0
GM00567,2024-05-29,33,0
GM00568,2024-04-21,71,0
GM00569,2023-10-05,270,1
GM00570,2024-05-18,44,0
GM00571,2024-05-18,44,0
GM00572,2024-04-26,66,0
GM00573,2024-05-16,46,0
GM00574,2022-07-27,705,1
GM00575,2023-12-22,192,1
GM00576,2023-01-08,540,1
GM00577,2024-05-07,55,0
GM00578,2024-04-25,67,0
GM00579,2023-04-14,444,1
GM00580,2023-12-02,212,1
GM00581,2023-06-18,379,1
GM00582,2024-05-30,32,0
GM00583,2024-02-24,128,0
GM00584,2024-02-29,123,0
GM00585,2024-02-23,129,0
GM00586,2024-01-05,178,0
GM00587,2024-05-09,53,0
GM00588,2024-06-14,17,0
GM00589,2024-05-22,40,0
GM00590,2024-03-11,112,0
GM00591,2024-02-10,142,0
GM00592,2023-10-01,274,1
GM00593,2024-06-07,24,0
GM00594,2024-04-26,66,0
GM00595,2023-12-02,212,1
GM00596,2024-02-08,144,0
GM00597,2024-02-24,128,0
GM00598,2024-06-11,20,0
GM00599,2023-12-16,198,1
GM00600,2024-01-27,156,0
GM00601,2023-03-20,469,1
GM00602,2024-03-29,94,0
GM00603,2024-06-17,14,0
GM00604,2023-08-28,308,1
GM00605,2024-06-13,18,0
GM00606,2024-04-25,67,0
GM00607,2024-05-22,40,0
GM00608,2024-01-11,172,0
GM00609,2024-04-24,68,0
GM00610,2024-06-14,17,0
GM00611,2024-02-29,123,0
GM00612,2024-01-27,156,0
GM00613,2024-01-20,163,0
GM00614,2024-04-02,90,0
GM00615,2024-04-30,62,0
GM00616,2024-04-06,86,0
GM00617,2023-02-18,499,1
GM00618,2024-02-23,129,0
GM00619,2024-04-05,87,0
GM00620,2024-06-06,25,0
GM00621,2024-01-03,180,0
GM00622,2024-04-28,64,0
GM00623,2024-05-17,45,0
GM00624,2023-03-19,470,1
GM00625,2024-06-06,25,0
GM00626,2024-05-20,42,0
GM00627,2024-04-24,68,0
GM00628,2023-12-06,208,1
GM00629,2024-06-17,14,0
GM00630,2024-04-12,80,0
GM00631,2024-06-12,19,0
GM00632,2024-03-24,99,0
GM00633,2024-05-21,41,0
GM00634,2024-05-04,58,0
GM00635,2024-06-12,19,0
GM00636,2024-05-27,35,0
GM00637,2024-05-30,32,0
GM00638,2024-06-13,18,0
GM00639,2023-08-10,326,1
GM00640,2024-02-24,128,0
GM00641,2023-04-15,443,1
GM00642,2023-01-24,524,1
GM00643,2024-06-04,27,0
GM00644,2024-04-24,68,0
GM00645,2024-03-30,93,0
GM00646,2023-12-03,211,1
GM00647,2024-05-11,51,0
GM00648,2022-05-19,774,1
GM00649,2024-04-30,62,0
GM00650,2024-06-16,15,0
GM00651,2024-05-22,40,0
GM00652,2024-03-23,100,0
GM00653,2024-04-15,77,0
GM00654,2024-06-07,24,0
GM00655,2024-04-08,84,0
GM00656,2023-12-26,188,1
GM00657,2024-04-06,86,0
GM00658,2024-04-20,72,0
GM00659,2024-04-09,83,0
GM00660,2024-05-05,57,0
GM00661,2024-05-26,36,0
GM00662,2023-12-17,197,1
GM00663,2024-06-13,18,0
GM00664,2024-06-13,18,0
GM00665,2023-12-20,194,1
GM00666,2024-02-13,139,0
GM00667,2024-05-11,51,0
GM00668,2024-05-05,57,0
GM00669,2024-06-14,17,0
GM00670,2024-04-24,68,0
GM00671,2024-05-11,51,0
GM00672,2023-11-30,214,1
GM00673,2024-04-07,85,0
GM00674,2024-03-17,106,0
GM00675,2024-05-05,57,0
GM00676,2024-02-15,137,0
GM00677,2023-11-18,226,1
GM00678,2024-03-04,119,0
GM00679,2024-06-13,18,0
GM00680,2024-02-10,142,0
GM00681,2024-03-18,105,0
GM00682,2024-06-08,23,0
GM00683,2024-05-18,44,0
GM00684,2023-08-31,305,1
GM00685,2024-02-24,128,0
GM00686,2024-05-22,40,0
GM00687,2023-09-09,296,1
GM00688,2024-03-17,106,0
GM00689,2024-05-26,36,0
GM00690,2024-05-20,42,0
GM00691,2023-01-26,522,1
GM00692,2024-05-09,53,0
GM00693,2024-05-31,31,0
GM00694,2024-05-01,61,0
GM00695,2024-04-14,78,0
GM00696,2024-05-06,56,0
GM00697,2024-05-14,48,0
GM00698,2024-05-14,48,0
GM00699,2024-03-09,114,0
GM00700,2024-05-21,41,0
GM00701,2024-06-16,15,0
GM00702,2024-05-22,40,0
GM00703,2023-07-12,355,1
GM00704,2024-03-25,98,0
GM00705,2024-05-13,49,0
GM00706,2024-02-29,123,0
GM00707,2024-05-14,48,0
GM00708,2024-04-16,76,0
GM00709,2022-11-12,597,1
GM00710,2024-01-06,177,0
GM00711,2024-05-05,57,0
GM00712,2024-03-23,100,0
GM00713,2024-06-15,16,0
GM00714,2023-12-28,186,1
GM00715,2024-06-05,26,0
GM00716,2024-04-24,68,0
GM00717,2024-06-11,20,0
GM00718,2024-05-27,35,0
GM00719,2024-05-07,55,0
GM00720,2024-05-16,46,0
GM00721,2024-05-31,31,0
GM00722,2024-03-27,96,0
GM00723,2024-06-04,27,0
GM00724,2024-05-07,55,0
GM00725,2024-02-01,151,0
GM00726,2024-04-21,71,0
GM00727,2024-04-27,65,0
GM00728,2024-06-11,20,0
GM00729,2024-03-13,110,0
GM00730,2024-05-20,42,0
GM00731,2023-12-21,193,1
GM00732,2024-04-25,67,0
GM00733,2024-01-27,156,0
GM00734,2024-06-08,23,0
GM00735,2024-06-08,23,0
GM00736,2023-12-28,186,1
GM00737,2024-02-04,148,0
GM00738,2023-09-13,292,1
GM00739,2023-10-26,249,1
GM00740,2024-05-23,39,0
GM00741,2024-01-22,161,0
GM00742,2024-05-30,32,0
GM00743,2024-03-01,122,0
GM00744,2024-05-20,42,0
GM00745,2022-09-18,652,1
GM00746,2024-02-17,135,0
GM00747,2023-07-01,366,1
GM00748,2024-04-07,85,0
GM00749,2023-04-13,445,1
GM00750,2024-03-22,101,0
GM00751,2024-06-08,23,0
GM00752,2024-06-09,22,0
GM00753,2024-05-28,34,0
GM00754,2024-05-04,58,0
GM00755,2023-09-30,275,1
GM00756,2024-04-05,87,0
GM00757,2024-03-17,106,0
GM00758,2024-01-16,167,0
GM00759,2024-06-06,25,0
GM00760,2024-06-18,13,0
GM00761,2023-07-24,343,1
GM00762,2024-06-18,13,0
GM00763,2024-05-03,59,0
GM00764,2024-02-14,138,0
GM00765,2023-12-28,186,1
GM00766,2023-10-14,261,1
GM00767,2024-05-31,31,0
GM00768,2024-06-01,30,0
GM00769,2024-05-01,61,0
GM00770,2024-05-08,54,0
GM00771,2022-10-18,622,1
GM00772,2023-05-09,419,1
GM00773,2023-12-02,212,1
GM00774,2024-02-28,124,0
GM00775,2023-11-16,228,1
GM00776,2024-05-23,39,0
GM00777,2024-06-18,13,0
GM00778,2024-05-16,46,0
GM00779,2024-04-21,71,0
GM00780,2024-03-19,104,0
GM00781,2024-03-16,107,0
GM00782,2023-12-10,204,1
GM00783,2024-05-22,40,0
GM00784,2024-06-18,13,0
GM00785,2023-12-01,213,1
GM00786,2023-06-17,380,1
GM00787,2024-04-30,62,0
GM00788,2024-05-14,48,0
GM00789,2024-06-15,16,0
GM00790,2023-11-23,221,1
GM00791,2024-03-07,116,0
GM00792,2024-03-12,111,0
GM00793,2023-12-12,202,1
GM00794,2024-03-07,116,0
GM00795,2022-06-18,744,1
GM00796,2023-10-18,257,1
GM00797,2024-03-14,109,0
GM00798,2024-04-11,81,0
GM00799,2024-06-15,16,0
GM00800,2023-08-16,320,1
GM00801,2023-09-24,281,1
GM00802,2024-04-29,63,0
GM00803,2024-05-31,31,0
GM00804,2023-12-10,204,1
GM00805,2024-05-11,51,0
GM00806,2023-09-25,280,1
GM00807,2024-06-16,15,0
GM00808,2024-05-29,33,0
GM00809,2024-05-07,55,0
GM00810,2024-04-20,72,0
GM00811,2024-05-14,48,0
GM00812,2024-06-11,20,0
GM00813,2022-12-08,571,1
GM00814,2024-04-18,74,0
GM00815,2024-03-07,116,0
GM00816,2024-05-04,58,0
GM00817,2024-04-21,71,0
GM00818,2024-06-01,30,0
GM00819,2024-04-21,71,0
GM00820,2023-11-29,215,1
GM00821,2024-01-04,179,0
GM00822,2022-04-25,798,1
GM00823,2022-11-16,593,1
GM00824,2023-12-29,185,1
GM00825,2024-05-02,60,0
GM00826,2024-05-14,48,0
GM00827,2023-12-01,213,1
GM00828,2024-06-17,14,0
GM00829,2024-06-18,13,0
GM00830,2024-06-02,29,0
GM00831,2024-06-17,14,0
GM00832,2024-06-12,19,0
GM00833,2024-05-12,50,0
GM00834,2024-05-02,60,0
GM00835,2023-12-27,187,1
GM00836,2024-05-26,36,0
GM00837,2024-04-28,64,0
GM00838,2024-04-22,70,0
GM00839,2024-03-26,97,0
GM00840,2024-01-22,161,0
GM00841,2024-02-22,130,0
GM00842,2023-11-04,240,1
GM00843,2024-05-29,33,0
GM00844,2022-12-22,557,1
GM00845,2023-11-28,216,1
GM00846,2024-04-30,62,0
GM00847,2023-10-29,246,1
GM00848,2024-06-07,24,0
GM00849,2022-01-05,908,1
GM00850,2024-06-01,30,0
GM00851,2023-12-23,191,1
GM00852,2024-05-01,61,0
GM00853,2022-03-29,825,1
GM00854,2024-04-16,76,0
GM00855,2024-05-23,39,0
GM00856,2024-05-04,58,0
GM00857,2024-03-01,122,0
GM00858,2024-06-18,13,0
GM00859,2024-02-06,146,0
GM00860,2024-06-17,14,0
GM00861,2024-04-01,91,0
GM00862,2024-05-13,49,0
GM00863,2024-06-07,24,0
GM00864,2024-02-11,141,0
GM00865,2024-03-26,97,0
GM00866,2024-04-12,80,0
GM00867,2023-12-17,197,1
GM00868,2024-05-10,52,0
GM00869,2023-12-28,186,1
GM00870,2024-06-07,24,0
GM00871,2024-05-10,52,0
GM00872,2024-03-09,114,0
