Month,region,channel,category,Revenue,Orders,Avg_Order
2022-02,Europe,Online,Home & Garden,17367.76,30,578.9253333333332
2022-02,Europe,Online,Sports,32274.05,32,1008.5640625
2022-02,MENA,Call Center,Beauty,1775.29,3,591.7633333333333
2022-02,MENA,Call Center,Electronics,674.39,3,224.79666666666665
2022-02,MENA,Call Center,Food & Grocery,1434.07,1,1434.07
2022-02,MENA,Call Center,Home & Garden,2428.99,4,607.2475
2022-02,MENA,Call Center,Sports,2606.55,2,1303.275
2022-02,MENA,In-Store,Beauty,8583.78,12,715.315
2022-02,MENA,In-Store,Electronics,11222.08,19,590.6357894736842
2022-02,MENA,In-Store,Fashion,10413.51,15,694.234
2022-02,MENA,In-Store,Food & Grocery,7225.14,13,555.78
2022-02,MENA,In-Store,Home & Garden,10468.46,14,747.7471428571428
2022-02,MENA,In-Store,Sports,14788.81,14,1056.3435714285713
2022-02,MENA,Mobile App,Beauty,8977.38,12,748.1149999999999
2022-02,MENA,Mobile App,Electronics,4904.12,10,490.412
2022-02,MENA,Mobile App,Fashion,10134.029999999999,10,1013.4029999999999
2022-02,MENA,Mobile App,Food & Grocery,9830.39,11,893.6718181818181
2022-02,MENA,Mobile App,Home & Garden,9337.91,12,778.1591666666667
2022-02,MENA,Mobile App,Sports,9790.56,17,575.915294117647
2022-02,MENA,Online,Beauty,17250.57,13,1326.966923076923
2022-02,MENA,Online,Electronics,13687.71,18,760.4283333333333
2022-02,MENA,Online,Fashion,22209.77,21,1057.6080952380953
2022-02,MENA,Online,Food & Grocery,15725.84,17,925.0494117647058
2022-02,MENA,Online,Home & Garden,11485.75,20,574.2875
2022-02,MENA,Online,Sports,17012.28,19,895.3831578947368
2022-02,North America,Call Center,Beauty,782.87,2,391.435
2022-02,North America,Call Center,Electronics,7682.31,3,2560.77
2022-02,North America,Call Center,Fashion,1010.92,2,505.46
2022-02,North America,Call Center,Food & Grocery,6448.65,6,1074.7749999999999
2022-02,North America,Call Center,Home & Garden,3178.23,2,1589.115
2022-02,North America,Call Center,Sports,6871.79,6,1145.2983333333334
2022-02,North America,In-Store,Beauty,28567.06,31,921.5180645161291
2022-02,North America,In-Store,Electronics,14394.17,22,654.2804545454545
2022-02,North America,In-Store,Fashion,17663.11,25,706.5244
2022-02,North America,In-Store,Food & Grocery,25504.27,34,750.1255882352941
2022-02,North America,In-Store,Home & Garden,11762.29,21,560.1090476190477
2022-02,North America,In-Store,Sports,20508.54,22,932.2063636363637
2022-02,North America,Mobile App,Beauty,15843.38,23,688.8426086956522
2022-02,North America,Mobile App,Electronics,17690.99,24,737.1245833333334
2022-02,North America,Mobile App,Fashion,27670.46,30,922.3486666666666
2022-02,North America,Mobile App,Food & Grocery,25448.54,29,877.5358620689656
2022-02,North America,Mobile App,Home & Garden,11189.21,15,745.9473333333333
2022-02,North America,Mobile App,Sports,15221.35,20,761.0675
2022-02,North America,Online,Beauty,29043.54,39,744.7061538461538
2022-02,North America,Online,Electronics,42384.9,39,1086.7923076923078
2022-02,North America,Online,Fashion,36199.0,40,904.975
2022-02,North America,Online,Food & Grocery,19613.27,25,784.5308
2022-02,North America,Online,Home & Garden,35596.57,41,868.2090243902439
2022-02,North America,Online,Sports,30131.329999999998,40,753.28325
2022-02,Southeast Asia,Call Center,Beauty,2411.5299999999997,3,803.8433333333332
2022-02,Southeast Asia,Call Center,Fashion,3308.34,2,1654.17
2022-02,Southeast Asia,Call Center,Food & Grocery,1645.0,4,411.25
2022-02,Southeast Asia,Call Center,Home & Garden,155.18,1,155.18
2022-02,Southeast Asia,Call Center,Sports,214.42,1,214.42
2022-02,Southeast Asia,In-Store,Beauty,8011.85,11,728.35
2022-02,Southeast Asia,In-Store,Electronics,4845.54,9,538.3933333333333
2022-02,Southeast Asia,In-Store,Fashion,10903.3,14,778.8071428571428
2022-02,Southeast Asia,In-Store,Food & Grocery,10715.23,13,824.2484615384615
2022-02,Southeast Asia,In-Store,Home & Garden,8871.88,11,806.5345454545454
2022-02,Southeast Asia,In-Store,Sports,4368.22,11,397.1109090909091
2022-02,Southeast Asia,Mobile App,Beauty,9148.25,8,1143.53125
2022-02,Southeast Asia,Mobile App,Electronics,10237.53,10,1023.753
2022-02,Southeast Asia,Mobile App,Fashion,5723.61,10,572.361
2022-02,Southeast Asia,Mobile App,Food & Grocery,9447.33,9,1049.7033333333334
2022-02,Southeast Asia,Mobile App,Home & Garden,7743.53,11,703.9572727272727
2022-02,Southeast Asia,Mobile App,Sports,10890.43,14,777.8878571428571
2022-02,Southeast Asia,Online,Beauty,18840.02,18,1046.6677777777777
2022-02,Southeast Asia,Online,Electronics,10103.73,16,631.483125
2022-02,Southeast Asia,Online,Fashion,15275.73,17,898.5723529411764
2022-02,Southeast Asia,Online,Food & Grocery,6870.3,11,624.5727272727273
2022-02,Southeast Asia,Online,Home & Garden,11237.39,16,702.336875
2022-02,Southeast Asia,Online,Sports,11522.970000000001,13,886.3823076923078
2022-03,Central Asia,Call Center,Beauty,2457.87,1,2457.87
2022-03,Central Asia,Call Center,Electronics,522.73,3,174.24333333333334
2022-03,Central Asia,Call Center,Fashion,3388.27,3,1129.4233333333334
2022-03,Central Asia,Call Center,Home & Garden,682.19,1,682.19
2022-03,Central Asia,Call Center,Sports,523.05,1,523.05
2022-03,Central Asia,In-Store,Beauty,14869.25,14,1062.0892857142858
2022-03,Central Asia,In-Store,Electronics,10473.779999999999,13,805.6753846153845
2022-03,Central Asia,In-Store,Fashion,9279.09,17,545.8288235294118
2022-03,Central Asia,In-Store,Food & Grocery,8769.95,12,730.8291666666668
2022-03,Central Asia,In-Store,Home & Garden,14562.439999999999,17,856.6141176470587
2022-03,Central Asia,In-Store,Sports,2654.36,9,294.9288888888889
2022-03,Central Asia,Mobile App,Beauty,10781.300000000001,13,829.3307692307693
2022-03,Central Asia,Mobile App,Electronics,13603.02,14,971.6442857142857
2022-03,Central Asia,Mobile App,Fashion,11780.87,13,906.2207692307693
2022-03,Central Asia,Mobile App,Food & Grocery,7714.42,11,701.3109090909091
2022-03,Central Asia,Mobile App,Home & Garden,4632.73,9,514.7477777777777
2022-03,Central Asia,Mobile App,Sports,8786.1,12,732.1750000000001
2022-03,Central Asia,Online,Beauty,15137.029999999999,17,890.4135294117647
2022-03,Central Asia,Online,Electronics,9963.3,10,996.3299999999999
2022-03,Central Asia,Online,Fashion,15097.64,18,838.7577777777777
2022-03,Central Asia,Online,Food & Grocery,15060.88,20,753.044
2022-03,Central Asia,Online,Home & Garden,12468.21,16,779.263125
2022-03,Central Asia,Online,Sports,12214.95,15,814.33
2022-03,Europe,Call Center,Beauty,5593.7,6,932.2833333333333
2022-03,Europe,Call Center,Electronics,477.61,1,477.61
2022-03,Europe,Call Center,Fashion,257.83,2,128.915
2022-03,Europe,Call Center,Food & Grocery,1309.12,3,436.3733333333333
2022-03,Europe,Call Center,Home & Garden,2145.66,4,536.415
2022-03,Europe,Call Center,Sports,3653.0399999999995,4,913.2599999999999
2022-03,Europe,In-Store,Beauty,17495.9,25,699.836
2022-03,Europe,In-Store,Electronics,14745.48,14,1053.2485714285715
2022-03,Europe,In-Store,Fashion,12321.62,20,616.081
2022-03,Europe,In-Store,Food & Grocery,24821.86,27,919.3281481481482
2022-03,Europe,In-Store,Home & Garden,11972.33,22,544.1968181818182
2022-03,Europe,In-Store,Sports,19471.37,23,846.5813043478261
2022-03,Europe,Mobile App,Beauty,24287.44,29,837.4979310344827
2022-03,Europe,Mobile App,Electronics,18850.59,21,897.6471428571429
2022-03,Europe,Mobile App,Fashion,10418.73,19,548.3542105263158
2022-03,Europe,Mobile App,Food & Grocery,4849.900000000001,13,373.0692307692308
2022-03,Europe,Mobile App,Home & Garden,14804.14,19,779.1652631578947
2022-03,Europe,Mobile App,Sports,14262.41,21,679.162380952381
2022-03,Europe,Online,Beauty,25402.96,36,705.6377777777777
2022-03,Europe,Online,Electronics,24681.19,34,725.9173529411764
2022-03,Europe,Online,Fashion,20315.41,26,781.3619230769231
2022-03,Europe,Online,Food & Grocery,35457.46,41,864.8160975609755
2022-03,Europe,Online,Home & Garden,31513.88,37,851.7264864864865
2022-03,Europe,Online,Sports,27525.11,43,640.1188372093023
2022-03,MENA,Call Center,Beauty,819.03,1,819.03
2022-03,MENA,Call Center,Electronics,1731.32,3,577.1066666666667
2022-03,MENA,Call Center,Fashion,5707.54,6,951.2566666666667
2022-03,MENA,Call Center,Food & Grocery,3046.96,3,1015.6533333333333
2022-03,MENA,Call Center,Home & Garden,2423.99,3,807.9966666666666
2022-03,MENA,Call Center,Sports,6506.32,3,2168.773333333333
2022-03,MENA,In-Store,Beauty,13368.11,21,636.5766666666667
2022-03,MENA,In-Store,Electronics,13330.779999999999,12,1110.8983333333333
2022-03,MENA,In-Store,Fashion,9724.84,12,810.4033333333333
2022-03,MENA,In-Store,Food & Grocery,10878.83,18,604.3794444444444
2022-03,MENA,In-Store,Home & Garden,11006.34,13,846.6415384615385
2022-03,MENA,In-Store,Sports,12693.05,15,846.2033333333333
2022-03,MENA,Mobile App,Beauty,8895.42,10,889.542
2022-03,MENA,Mobile App,Electronics,6231.3,10,623.13
2022-03,MENA,Mobile App,Fashion,12342.42,19,649.6010526315789
2022-03,MENA,Mobile App,Food & Grocery,6339.0,16,396.1875
2022-03,MENA,Mobile App,Home & Garden,10114.08,11,919.4618181818182
2022-03,MENA,Mobile App,Sports,12149.210000000001,15,809.9473333333334
2022-03,MENA,Online,Beauty,17160.17,20,858.0084999999999
2022-03,MENA,Online,Electronics,23036.36,23,1001.5808695652174
2022-03,MENA,Online,Fashion,14661.09,23,637.4386956521739
2022-03,MENA,Online,Food & Grocery,23930.41,30,797.6803333333334
2022-03,MENA,Online,Home & Garden,13468.9,25,538.756
2022-03,MENA,Online,Sports,26644.920000000002,27,986.848888888889
2022-03,North America,Call Center,Beauty,4958.16,7,708.3085714285714
2022-03,North America,Call Center,Electronics,912.0699999999999,3,304.0233333333333
2022-03,North America,Call Center,Fashion,3530.89,5,706.178
2022-03,North America,Call Center,Food & Grocery,4425.25,4,1106.3125
2022-03,North America,Call Center,Home & Garden,5779.27,6,963.2116666666667
2022-03,North America,Call Center,Sports,5554.780000000001,3,1851.5933333333335
2022-03,North America,In-Store,Beauty,13918.86,28,497.1021428571429
2022-03,North America,In-Store,Electronics,39424.15,41,961.5646341463415
2022-03,North America,In-Store,Fashion,34354.63,34,1010.430294117647
2022-03,North America,In-Store,Food & Grocery,38379.31,37,1037.2786486486486
2022-03,North America,In-Store,Home & Garden,30346.67,31,978.9248387096774
2022-03,North America,In-Store,Sports,32675.29,34,961.0379411764707
2022-03,North America,Mobile App,Beauty,23502.27,29,810.4231034482759
2022-03,North America,Mobile App,Electronics,18016.81,28,643.4575000000001
2022-03,North America,Mobile App,Fashion,34904.88,38,918.5494736842105
2022-03,North America,Mobile App,Food & Grocery,23985.99,32,749.5621875
2022-03,North America,Mobile App,Home & Garden,21771.49,34,640.3379411764706
2022-03,North America,Mobile App,Sports,30444.36,31,982.0761290322581
2022-03,North America,Online,Beauty,41357.96,46,899.0860869565217
2022-03,North America,Online,Electronics,35584.97,43,827.5574418604651
2022-03,North America,Online,Fashion,30044.8,37,812.0216216216216
2022-03,North America,Online,Food & Grocery,26417.98,30,880.5993333333333
2022-03,North America,Online,Home & Garden,45765.13,49,933.9822448979592
2022-03,North America,Online,Sports,27351.99,33,828.8481818181818
2022-03,Southeast Asia,Call Center,Beauty,772.8,1,772.8
2022-03,Southeast Asia,Call Center,Electronics,1171.03,3,390.3433333333333
2022-03,Southeast Asia,Call Center,Fashion,218.29,1,218.29
2022-03,Southeast Asia,Call Center,Food & Grocery,4621.73,7,660.2471428571428
2022-03,Southeast Asia,Call Center,Home & Garden,4250.95,4,1062.7375
2022-03,Southeast Asia,Call Center,Sports,3101.1099999999997,2,1550.5549999999998
2022-03,Southeast Asia,In-Store,Beauty,11318.12,11,1028.92
2022-03,Southeast Asia,In-Store,Electronics,8796.4,16,549.775
2022-03,Southeast Asia,In-Store,Fashion,15056.03,14,1075.4307142857144
2022-03,Southeast Asia,In-Store,Food & Grocery,9715.43,14,693.9592857142858
2022-03,Southeast Asia,In-Store,Home & Garden,3435.17,11,312.28818181818184
2022-03,Southeast Asia,In-Store,Sports,7846.049999999999,8,980.7562499999999
2022-03,Southeast Asia,Mobile App,Beauty,18840.51,16,1177.531875
2022-03,Southeast Asia,Mobile App,Electronics,8532.98,8,1066.6225
2022-03,Southeast Asia,Mobile App,Fashion,9597.07,12,799.7558333333333
2022-03,Southeast Asia,Mobile App,Food & Grocery,10024.63,10,1002.463
2022-03,Southeast Asia,Mobile App,Home & Garden,12653.11,19,665.9531578947368
2022-03,Southeast Asia,Mobile App,Sports,14685.9,16,917.86875
2022-03,Southeast Asia,Online,Beauty,16260.130000000001,18,903.3405555555556
2022-03,Southeast Asia,Online,Electronics,14334.24,15,955.616
2022-03,Southeast Asia,Online,Fashion,15091.61,26,580.4465384615385
2022-03,Southeast Asia,Online,Food & Grocery,12165.43,18,675.8572222222223
2022-03,Southeast Asia,Online,Home & Garden,6614.6900000000005,9,734.9655555555556
2022-03,Southeast Asia,Online,Sports,9344.95,18,519.1638888888889
2022-04,Central Asia,Call Center,Beauty,3144.16,2,1572.08
2022-04,Central Asia,Call Center,Electronics,567.76,1,567.76
2022-04,Central Asia,Call Center,Fashion,447.07,1,447.07
2022-04,Central Asia,Call Center,Food & Grocery,2986.54,4,746.635
2022-04,Central Asia,Call Center,Home & Garden,6969.7,5,1393.94
2022-04,Central Asia,Call Center,Sports,66.67,1,66.67
2022-04,Central Asia,In-Store,Beauty,11815.3,10,1181.53
2022-04,Central Asia,In-Store,Electronics,8340.449999999999,12,695.0374999999999
2022-04,Central Asia,In-Store,Fashion,22722.47,21,1082.022380952381
2022-04,Central Asia,In-Store,Food & Grocery,4454.45,10,445.445
2022-04,Central Asia,In-Store,Home & Garden,15947.54,13,1226.7338461538461
2022-04,Central Asia,In-Store,Sports,5219.08,9,579.8977777777777
2022-04,Central Asia,Mobile App,Beauty,10701.63,12,891.8024999999999
2022-04,Central Asia,Mobile App,Electronics,12101.4,9,1344.6
2022-04,Central Asia,Mobile App,Fashion,11115.470000000001,10,1111.547
2022-04,Central Asia,Mobile App,Food & Grocery,9921.6,16,620.1
2022-04,Central Asia,Mobile App,Home & Garden,17575.04,18,976.3911111111112
2022-04,Central Asia,Mobile App,Sports,4892.45,10,489.245
2022-04,Central Asia,Online,Beauty,22620.4,21,1077.161904761905
2022-04,Central Asia,Online,Electronics,20020.35,15,1334.6899999999998
2022-04,Central Asia,Online,Fashion,19458.39,17,1144.6111764705881
2022-04,Central Asia,Online,Food & Grocery,6204.8,11,564.0727272727273
2022-04,Central Asia,Online,Home & Garden,17238.16,21,820.8647619047618
2022-04,Central Asia,Online,Sports,12385.41,9,1376.1566666666668
2022-04,Europe,Call Center,Beauty,1259.77,3,419.92333333333335
2022-04,Europe,Call Center,Electronics,3336.59,5,667.318
2022-04,Europe,Call Center,Fashion,5469.62,6,911.6033333333334
2022-04,Europe,Call Center,Food & Grocery,6908.99,6,1151.4983333333332
2022-04,Europe,Call Center,Home & Garden,2967.91,5,593.582
2022-04,Europe,Call Center,Sports,450.64,2,225.32
2022-04,Europe,In-Store,Beauty,12473.8,13,959.5230769230768
2022-04,Europe,In-Store,Electronics,19630.72,20,981.5360000000001
2022-04,Europe,In-Store,Fashion,18147.08,20,907.354
2022-04,Europe,In-Store,Food & Grocery,21606.75,27,800.25
2022-04,Europe,In-Store,Home & Garden,13322.04,28,475.7871428571429
2022-04,Europe,In-Store,Sports,21162.55,25,846.502
2022-04,Europe,Mobile App,Beauty,20399.9,19,1073.6789473684212
2022-04,Europe,Mobile App,Electronics,20468.88,22,930.4036363636365
2022-04,Europe,Mobile App,Fashion,18548.36,31,598.3341935483871
2022-04,Europe,Mobile App,Food & Grocery,14409.880000000001,15,960.6586666666667
2022-04,Europe,Mobile App,Home & Garden,17445.36,21,830.7314285714286
2022-04,Europe,Mobile App,Sports,19002.21,18,1055.6783333333333
2022-04,Europe,Online,Beauty,30778.5,38,809.9605263157895
2022-04,Europe,Online,Electronics,23237.74,29,801.3013793103448
2022-04,Europe,Online,Fashion,22054.35,28,787.655357142857
2022-04,Europe,Online,Food & Grocery,28466.04,30,948.868
2022-04,Europe,Online,Home & Garden,24586.89,30,819.563
2022-04,Europe,Online,Sports,18493.41,31,596.5616129032258
2022-04,MENA,Call Center,Beauty,406.69000000000005,2,203.34500000000003
2022-04,MENA,Call Center,Electronics,1019.98,1,1019.98
