customer_id,recency,frequency,monetary,R,F,M,RFM_Score,RFM_Total,Segment,region,age,gender,segment,CLV,Churn_Probability
GM00023,167,3,121.34,2,1,1,211,4,Potential Loyalists,Europe,26,F,Budget,77.51,0.46786081122937684
GM00024,15,17,6401.599999999999,5,4,4,544,13,Champions,Europe,32,M,Standard,4194.32,2.069079173948301e-06
GM00025,15,16,16434.13,5,4,5,545,14,Champions,MENA,20,F,Premium,10727.11,2.764588023137986e-06
GM00026,40,16,18566.41,4,4,5,445,13,Champions,North America,46,F,Premium,12301.9,2.2669292482481786e-05
GM00027,28,33,41560.07,5,5,5,555,15,Champions,Europe,23,F,Premium,27963.03,1.095926388517097e-05
GM00028,369,5,2249.63,1,2,2,122,5,Potential Loyalists,MENA,34,F,Standard,1532.31,0.9999998838643888
GM00029,34,33,39718.74,4,5,5,455,14,Champions,North America,43,M,Premium,26994.82,1.6936669554838905e-05
GM00030,63,15,6167.94,3,4,4,344,11,Potential Loyalists,Central Asia,38,M,Standard,4016.46,0.00012862119891909014
GM00031,84,17,27659.88,3,4,5,345,12,Potential Loyalists,North America,25,F,Premium,18444.01,0.0008807896234801086
GM00032,534,2,437.7,1,1,1,111,3,Lost,Europe,38,M,Budget,304.71,0.999999999999869
GM00033,63,16,7773.31,3,4,4,344,11,Potential Loyalists,Central Asia,28,M,Standard,5135.34,0.00011229258099474704
GM00034,180,5,460.11,2,2,1,221,5,Potential Loyalists,Southeast Asia,55,F,Budget,320.56,0.6677736042225393
GM00035,174,3,456.91,2,1,1,211,4,Potential Loyalists,Southeast Asia,25,F,Budget,289.98,0.563425320207424
GM00036,35,32,42828.06,4,5,5,455,14,Champions,North America,59,M,Premium,28354.3,1.9208913367132798e-05
GM00037,144,10,4003.25,2,3,3,233,8,Potential Loyalists,Europe,41,F,Standard,2705.15,0.09351373349154563
GM00038,23,26,27877.67,5,5,5,555,15,Champions,Central Asia,52,F,Premium,18937.08,6.4339814842183955e-06
GM00039,499,1,200.2,1,1,1,111,3,Lost,North America,31,F,Budget,132.36,0.9999999999976821
GM00040,74,16,7699.03,3,4,4,344,11,Potential Loyalists,MENA,31,M,Standard,4990.84,0.0002594915784497059
GM00041,19,31,41872.44,5,5,5,555,15,Champions,Europe,27,M,Premium,28810.9,5.709385986859736e-06
GM00042,38,34,40473.75,4,5,5,455,14,Champions,MENA,29,M,Premium,27404.82,2.3884867389329755e-05
GM00043,618,4,2003.45,1,1,2,112,4,Lost,Central Asia,55,M,Standard,1457.05,0.9999999999999998
GM00044,64,5,566.35,3,2,1,321,6,Potential Loyalists,Southeast Asia,61,M,Budget,390.03,0.00016556347123152155
GM00045,32,18,11187.79,4,4,5,445,13,Champions,Europe,63,M,Standard,7461.07,1.0061660094162677e-05
GM00046,216,1,160.93,1,1,1,111,3,Lost,North America,51,M,Budget,106.4,0.9775337913818637
GM00047,59,10,2768.73,3,3,2,332,8,Potential Loyalists,Europe,58,F,Standard,1882.74,8.617345727193842e-05
GM00048,170,9,12459.539999999999,2,3,5,235,10,Potential Loyalists,MENA,27,M,Premium,8317.98,0.4221321697594175
GM00049,144,3,294.47,2,1,1,211,4,Potential Loyalists,MENA,34,F,Budget,212.91,0.10796716147708685
GM00050,22,24,33996.26,5,5,5,555,15,Champions,Europe,34,F,Premium,22754.46,6.544957624444215e-06
GM00051,702,2,176.49,1,1,1,111,3,Lost,Southeast Asia,20,M,Budget,128.36,1.0
GM00052,136,6,2731.7599999999998,2,2,2,222,6,Potential Loyalists,North America,48,F,Standard,1863.65,0.06067227462213406
GM00053,14,18,22564.510000000002,5,4,5,545,14,Champions,Southeast Asia,68,F,Premium,15180.62,2.649138507398174e-06
GM00054,36,16,7572.9,4,4,4,444,12,Loyal Customers,Southeast Asia,18,M,Standard,5011.44,1.0958252784725988e-05
GM00055,17,2,170.55,5,1,1,511,7,Recent Customers,North America,29,F,Budget,115.11,4.3842708174633906e-06
GM00056,140,6,705.75,2,2,2,222,6,Potential Loyalists,Southeast Asia,56,M,Budget,464.18,0.06792135527938349
GM00057,20,13,15618.74,5,4,5,545,14,Champions,Central Asia,21,F,Premium,10165.81,4.577324621838626e-06
GM00058,16,18,20524.12,5,4,5,545,14,Champions,Europe,59,M,Premium,13860.85,3.1586833028347367e-06
GM00059,201,7,3001.57,1,2,3,123,6,Potential Loyalists,Central Asia,30,F,Standard,2157.96,0.9266456284159105
GM00060,288,3,2065.15,1,1,2,112,4,Lost,Europe,51,M,Standard,1377.72,0.9999214695745284
GM00061,51,9,3534.86,4,3,3,433,10,Loyal Customers,MENA,59,F,Standard,2360.5,5.718828291777956e-05
GM00062,65,27,39464.79,3,5,5,355,13,Champions,Europe,38,M,Premium,26970.86,0.00024608704244177425
GM00063,322,4,502.13,1,1,1,111,3,Lost,North America,39,F,Budget,349.28,0.9999952523358271
GM00064,229,4,2699.69,1,1,2,112,4,Lost,Europe,21,F,Standard,1891.17,0.9904077204773113
GM00065,538,2,219.79999999999998,1,1,1,111,3,Lost,Europe,35,M,Budget,155.74,0.9999999999999514
GM00066,35,4,875.48,4,1,2,412,7,Recent Customers,MENA,22,F,Standard,577.95,1.6219483693826296e-05
GM00067,30,17,5965.0599999999995,5,4,4,544,13,Champions,Europe,36,M,Standard,4220.65,7.81339927339918e-06
GM00068,400,3,651.21,1,1,1,111,3,Lost,North America,19,F,Budget,455.2,0.9999999949338447
GM00069,94,17,7901.63,3,4,4,344,11,Potential Loyalists,Central Asia,29,F,Standard,5565.2,0.0013836011353082626
GM00070,812,1,77.99,1,1,1,111,3,Lost,Southeast Asia,34,F,Budget,56.72,1.0
GM00071,237,1,27.88,1,1,1,111,3,Lost,North America,27,F,Budget,18.43,0.9964138850798017
GM00072,63,9,3853.79,3,3,3,333,9,Potential Loyalists,Europe,51,M,Standard,2445.45,0.00012803595464804148
GM00073,36,16,7359.29,4,4,4,444,12,Loyal Customers,Central Asia,23,M,Standard,4910.81,1.2998009133364199e-05
GM00074,21,28,39803.25,5,5,5,555,15,Champions,North America,25,M,Premium,27007.48,6.479956248937715e-06
GM00075,34,13,20058.14,4,4,5,445,13,Champions,North America,68,F,Premium,13359.0,1.1608596100665597e-05
GM00076,189,15,6827.6900000000005,2,4,4,244,10,At Risk,North America,28,M,Standard,4713.19,0.7496677915381829
GM00077,30,12,17001.53,5,3,5,535,13,Champions,North America,29,F,Premium,11164.58,8.659832743456651e-06
GM00078,71,16,8355.24,3,4,4,344,11,Potential Loyalists,Central Asia,26,F,Standard,5646.13,0.00023634643150468072
GM00079,29,14,6074.0599999999995,5,4,4,544,13,Champions,Europe,19,M,Standard,4139.82,8.719689576725867e-06
GM00080,20,13,5189.31,5,4,3,543,12,Loyal Customers,Central Asia,25,F,Standard,3389.1,3.615502027487895e-06
GM00081,194,5,1370.25,2,2,2,222,6,Potential Loyalists,Southeast Asia,28,M,Standard,946.26,0.8727425871578983
GM00082,26,38,43043.14,5,5,5,555,15,Champions,North America,70,M,Premium,29073.58,9.237273190271711e-06
GM00083,112,14,16082.07,2,4,5,245,11,At Risk,Europe,53,F,Premium,10902.98,0.006908077326340868
GM00084,208,3,671.01,1,1,2,112,4,Lost,Central Asia,27,M,Standard,448.54,0.9608068819817589
GM00085,285,5,2063.6800000000003,1,2,2,122,5,Potential Loyalists,Europe,38,M,Standard,1462.15,0.999909669305681
GM00086,115,6,3523.75,2,2,3,223,7,Potential Loyalists,Europe,37,F,Standard,2237.3,0.0112446430346691
GM00087,121,16,6899.219999999999,2,4,4,244,10,At Risk,North America,65,M,Standard,4652.81,0.011846668859820978
GM00088,818,1,59.35,1,1,1,111,3,Lost,North America,25,Other,Budget,43.16,1.0
GM00089,100,10,6210.63,3,3,4,334,10,Potential Loyalists,Southeast Asia,53,Other,Standard,4091.59,0.0025646289739610236
GM00090,160,9,3870.5699999999997,2,3,3,233,8,Potential Loyalists,MENA,46,M,Standard,2671.36,0.24954220948624004
GM00091,18,3,194.14999999999998,5,1,1,511,7,Recent Customers,Central Asia,59,M,Budget,120.98,5.567768946157957e-06
GM00092,363,4,507.64,1,1,1,111,3,Lost,North America,29,F,Budget,366.46,0.9999998823716961
GM00093,13,9,2348.88,5,3,2,532,10,Loyal Customers,North America,31,M,Standard,1631.9,2.107004575694284e-06
GM00094,42,13,4179.62,4,4,3,443,11,Loyal Customers,North America,65,M,Standard,2852.31,2.2887282315272816e-05
GM00095,67,26,31816.239999999998,3,5,5,355,13,Champions,North America,71,F,Premium,21978.0,0.00022131966127002985
GM00096,158,8,3529.92,2,3,3,233,8,Potential Loyalists,MENA,67,M,Standard,2379.4,0.25341450479725286
GM00097,206,3,504.35,1,1,1,111,3,Lost,MENA,38,F,Budget,333.45,0.9494376158842629
GM00098,203,15,6392.8099999999995,1,4,4,144,9,At Risk,MENA,39,M,Standard,4372.08,0.9169455967293404
GM00099,26,5,562.33,5,2,1,521,8,Recent Customers,Central Asia,38,M,Budget,372.69,8.669947657390893e-06
GM00100,126,6,2757.81,2,2,2,222,6,Potential Loyalists,Central Asia,61,M,Standard,1699.59,0.02959949661287486
GM00101,105,5,559.63,2,2,1,221,5,Potential Loyalists,Central Asia,67,F,Budget,391.71,0.004960358214452565
GM00102,260,7,3633.94,1,2,3,123,6,Potential Loyalists,North America,47,F,Standard,2542.37,0.9991455987063322
GM00103,17,29,31760.32,5,5,5,555,15,Champions,Europe,56,F,Premium,21574.79,4.068388134921402e-06
GM00104,33,19,8529.46,4,5,4,454,13,Champions,MENA,37,M,Standard,5609.4,8.952244141924247e-06
GM00105,16,19,10410.74,5,5,5,555,15,Champions,Southeast Asia,41,M,Standard,6846.72,2.052224965128687e-06
GM00106,24,20,24808.489999999998,5,5,5,555,15,Champions,Europe,40,M,Premium,17498.63,6.174499368967952e-06
GM00107,696,1,50.9,1,1,1,111,3,Lost,MENA,24,F,Budget,37.02,1.0
GM00108,136,6,2292.82,2,2,2,222,6,Potential Loyalists,North America,26,F,Standard,1537.68,0.045282884479700296
GM00109,852,1,47.34,1,1,1,111,3,Lost,Europe,18,F,Budget,34.43,1.0
GM00110,94,7,2656.15,3,2,2,322,7,Potential Loyalists,Central Asia,43,M,Standard,1858.96,0.0019427119101383698
GM00111,81,16,18017.66,3,4,5,345,12,Potential Loyalists,Europe,55,F,Premium,12538.14,0.0005843699454278628
GM00112,111,2,158.89,2,1,1,211,4,Potential Loyalists,Europe,55,M,Budget,95.5,0.009605689594601287
GM00113,93,14,5475.85,3,4,3,343,10,Potential Loyalists,Southeast Asia,71,F,Standard,3659.65,0.0012810938804466
GM00114,31,15,5840.3,5,4,4,544,13,Champions,North America,61,M,Standard,3880.56,7.808249563703665e-06
GM00115,112,19,5990.17,2,5,4,254,11,At Risk,North America,39,F,Standard,4032.05,0.005097800553889145
GM00116,56,12,9398.22,4,3,4,434,11,Loyal Customers,Southeast Asia,61,M,Standard,6300.91,6.252876302470667e-05
GM00117,280,1,72.54,1,1,1,111,3,Lost,North America,27,M,Budget,47.96,0.9998692912208561
GM00118,156,3,1022.25,2,1,2,212,5,Potential Loyalists,Europe,23,F,Standard,640.5,0.22896865519020218
GM00119,112,12,4561.31,2,3,3,233,8,Potential Loyalists,Southeast Asia,34,M,Standard,3115.55,0.005622058796638559
GM00120,271,1,31.33,1,1,1,111,3,Lost,MENA,68,M,Budget,20.71,0.9997756754437233
GM00121,54,36,38755.54,4,5,5,455,14,Champions,North America,67,F,Premium,26520.14,8.097428885203489e-05
GM00122,254,6,1927.62,1,2,2,122,5,Potential Loyalists,Southeast Asia,55,F,Standard,1321.59,0.9985953079042672
GM00123,138,5,197.62,2,2,1,221,5,Potential Loyalists,Europe,41,F,Budget,138.68,0.07496077050806561
GM00124,187,12,3047.46,2,3,3,233,8,Potential Loyalists,Central Asia,68,M,Standard,2104.61,0.7731998032480067
GM00125,451,5,509.46000000000004,1,2,1,121,4,Potential Loyalists,Europe,27,F,Budget,350.49,0.9999999998829969
GM00126,83,13,4455.23,3,4,3,343,10,Potential Loyalists,MENA,25,F,Standard,3073.12,0.0005383570339984288
GM00127,376,4,274.48,1,1,1,111,3,Lost,North America,38,M,Budget,199.62,0.9999999451554004
GM00128,306,7,663.22,1,2,1,121,4,Potential Loyalists,Southeast Asia,23,F,Budget,455.54,0.9999814970076675
GM00129,19,17,3877.2,5,4,3,543,12,Loyal Customers,Central Asia,38,M,Standard,2681.47,3.1163854673620992e-06
GM00130,25,30,35162.28,5,5,5,555,15,Champions,MENA,56,M,Premium,23562.89,7.713725080630613e-06
GM00131,27,8,4456.14,5,3,3,533,11,Loyal Customers,MENA,41,M,Standard,2937.46,8.19977112630296e-06
GM00132,30,8,3566.0,5,3,3,533,11,Loyal Customers,Europe,50,M,Standard,2383.26,9.344383636363687e-06
GM00133,102,4,1999.78,3,1,2,312,6,Potential Loyalists,Central Asia,35,F,Standard,1275.62,0.003885184375821745
GM00134,45,9,14801.8,4,3,5,435,12,Loyal Customers,Europe,45,F,Premium,10527.87,3.2380863798692397e-05
GM00135,89,11,4815.08,3,3,3,333,9,Potential Loyalists,Southeast Asia,69,F,Standard,3287.23,0.0011354523101869067
GM00136,372,1,85.74,1,1,1,111,3,Lost,Europe,49,F,Budget,56.69,0.9999999409736734
GM00137,39,10,3139.09,4,3,3,433,10,Loyal Customers,MENA,29,M,Standard,2113.3,1.895607890346746e-05
GM00138,103,5,1682.1,3,2,2,322,7,Potential Loyalists,North America,65,F,Standard,1079.91,0.004554551102536205
GM00139,44,19,22906.46,4,5,5,455,14,Champions,Europe,59,F,Premium,15274.13,3.37725902323127e-05
GM00140,147,7,1610.88,2,2,2,222,6,Potential Loyalists,Southeast Asia,44,M,Standard,1062.1,0.1077953389530817
GM00141,146,35,46125.24,2,5,5,255,12,At Risk,Southeast Asia,27,F,Premium,32149.03,0.15297290910201752
GM00142,32,19,26047.46,4,5,5,455,14,Champions,Europe,63,Other,Premium,17801.86,1.2393033056404405e-05
GM00143,570,5,534.54,1,2,1,121,4,Potential Loyalists,MENA,69,F,Budget,388.76,0.9999999999999922
GM00144,120,7,1049.8600000000001,2,2,2,222,6,Potential Loyalists,Europe,59,F,Budget,734.11,0.016892889774360625
GM00145,39,28,23824.42,4,5,5,455,14,Champions,Europe,49,M,Premium,16014.43,1.869604984664087e-05
GM00146,36,31,33011.75,4,5,5,455,14,Champions,Central Asia,59,M,Premium,22258.26,1.9119013727693964e-05
GM00147,124,5,3230.16,2,2,3,223,7,Potential Loyalists,North America,43,M,Standard,2120.18,0.017673531180733035
GM00148,32,3,877.31,4,1,2,412,7,Recent Customers,MENA,42,F,Standard,554.56,1.3118249440726265e-05
GM00149,188,9,4835.95,2,3,3,233,8,Potential Loyalists,Central Asia,28,F,Standard,3276.97,0.7831222619996765
GM00150,15,11,4788.41,5,3,3,533,11,Loyal Customers,Europe,40,Other,Standard,3218.55,2.979609514125106e-06
GM00151,17,10,3339.71,5,3,3,533,11,Loyal Customers,Southeast Asia,51,M,Standard,2256.93,2.7262982134001314e-06
GM00152,656,4,252.45,1,1,1,111,3,Lost,Europe,69,M,Budget,183.6,1.0
GM00153,30,16,9136.26,5,4,4,544,13,Champions,Europe,57,F,Standard,6333.97,9.266651506284601e-06
GM00154,335,10,6147.44,1,3,4,134,8,Potential Loyalists,MENA,40,F,Standard,4263.57,0.9999980355040025
GM00155,20,10,5531.07,5,3,3,533,11,Loyal Customers,Southeast Asia,46,M,Standard,3670.15,3.5346204888544726e-06
GM00156,88,6,703.82,3,2,2,322,7,Potential Loyalists,Europe,48,F,Budget,467.03,0.0012339752478573297
GM00157,62,4,377.69,3,1,1,311,5,Potential Loyalists,North America,24,F,Budget,242.05,0.00015138976980830836
GM00158,108,10,10953.87,2,3,5,235,10,Potential Loyalists,North America,57,F,Premium,7425.81,0.005134894984751898
GM00159,235,4,2575.29,1,1,2,112,4,Lost,Europe,50,F,Standard,1799.53,0.9939211702755296
GM00160,20,18,8772.81,5,4,4,544,13,Champions,North America,38,M,Standard,5953.93,3.486661047624176e-06
GM00161,63,19,25694.01,3,5,5,355,13,Champions,Europe,19,Other,Premium,17892.44,0.00016316126192250855
GM00162,26,7,3026.34,5,2,3,523,10,Recent Customers,North America,35,F,Standard,1999.42,7.75497927351544e-06
GM00163,16,9,4646.53,5,3,3,533,11,Loyal Customers,North America,64,M,Standard,3181.01,2.6269771683979985e-06
GM00164,22,11,4761.0,5,3,3,533,11,Loyal Customers,MENA,50,M,Standard,3223.67,4.164955613164802e-06
GM00165,64,17,9180.72,3,4,4,344,11,Potential Loyalists,Central Asia,54,F,Standard,6088.09,0.00013585797027936992
GM00166,15,6,1888.84,5,2,2,522,9,Recent Customers,North America,51,M,Standard,1293.75,2.868588401400414e-06
GM00167,117,5,472.95,2,2,1,221,5,Potential Loyalists,Europe,37,M,Budget,288.67,0.01328202315845328
GM00168,243,7,2105.38,1,2,2,122,5,Potential Loyalists,Europe,52,F,Standard,1493.76,0.9968149692265024
GM00169,223,8,2423.85,1,3,2,132,6,Potential Loyalists,Central Asia,68,M,Standard,1670.93,0.9877916465364183
GM00170,23,33,35051.95,5,5,5,555,15,Champions,North America,67,F,Premium,23602.63,5.678018910902967e-06
GM00171,40,35,42117.39,4,5,5,455,14,Champions,North America,71,M,Premium,29135.67,2.737068466021171e-05
GM00172,118,8,4727.01,2,3,3,233,8,Potential Loyalists,Central Asia,35,F,Standard,3240.8,0.011668041032684897
GM00173,26,38,42608.08,5,5,5,555,15,Champions,MENA,63,M,Premium,28693.06,8.718255027151242e-06
GM00174,20,32,41834.33,5,5,5,555,15,Champions,Europe,41,M,Premium,28328.02,6.410059391982582e-06
GM00175,21,8,9010.94,5,3,4,534,12,Loyal Customers,North America,25,M,Premium,5784.74,3.6538913248655276e-06
GM00176,60,15,9040.76,3,4,4,344,11,Potential Loyalists,Europe,47,F,Standard,6046.68,0.0001109045064626823
GM00177,53,19,6043.24,4,5,4,454,13,Champions,North America,61,F,Standard,4086.85,4.405605975722181e-05
GM00178,168,5,1010.62,2,2,2,222,6,Potential Loyalists,MENA,70,M,Standard,681.05,0.43905015971190087
GM00179,41,13,7171.05,4,4,4,444,12,Loyal Customers,Southeast Asia,27,F,Standard,4749.46,2.3535276335653725e-05
GM00180,50,25,32436.87,4,5,5,455,14,Champions,Europe,40,F,Premium,21733.98,6.190907270555309e-05
GM00181,24,10,4152.46,5,3,3,533,11,Loyal Customers,Europe,69,Other,Standard,2709.14,5.539760561126618e-06
GM00182,78,7,2237.2799999999997,3,2,2,322,7,Potential Loyalists,Central Asia,66,M,Standard,1509.43,0.0005216254086566826
GM00183,111,10,4386.09,2,3,3,233,8,Potential Loyalists,Southeast Asia,28,F,Standard,2896.43,0.005600802348340871
GM00184,371,2,171.3,1,1,1,111,3,Lost,Southeast Asia,19,M,Budget,113.26,0.9999999249472712
GM00185,136,6,662.75,2,2,1,221,5,Potential Loyalists,Europe,43,M,Budget,439.93,0.04998786234508302
GM00186,16,27,27407.68,5,5,5,555,15,Champions,North America,53,F,Premium,17967.18,2.848008606026492e-06
GM00187,394,3,448.25,1,1,1,111,3,Lost,North America,50,F,Budget,303.96,0.9999999875516224
GM00188,158,16,18893.65,2,4,5,245,11,At Risk,North America,64,M,Premium,12588.4,0.23887472887892927
GM00189,743,1,28.81,1,1,1,111,3,Lost,MENA,30,M,Budget,20.95,1.0
GM00190,84,9,4973.59,3,3,3,333,9,Potential Loyalists,Europe,57,F,Standard,3289.86,0.0007435205229357379
GM00191,40,5,3919.14,4,2,3,423,9,Recent Customers,Central Asia,42,F,Standard,2522.87,2.7720847910001586e-05
GM00192,42,39,44063.54,4,5,5,455,14,Champions,Southeast Asia,21,M,Premium,30009.73,3.0297399403039225e-05
GM00193,27,17,20633.34,5,4,5,545,14,Champions,Southeast Asia,59,F,Premium,13899.16,7.609620092574588e-06
GM00194,76,19,9326.14,3,5,4,354,12,Potential Loyalists,North America,36,M,Standard,6264.11,0.0003054569487637855
GM00195,355,5,588.91,1,2,1,121,4,Potential Loyalists,Europe,35,M,Budget,403.28,0.9999996565033203
GM00196,133,19,8476.56,2,5,4,254,11,At Risk,Europe,54,F,Standard,5714.18,0.030887063857541516
GM00197,44,13,5250.64,4,4,3,443,11,Loyal Customers,North America,47,M,Standard,3632.19,2.3367689515803874e-05
GM00198,421,4,707.24,1,1,2,112,4,Lost,Southeast Asia,36,M,Budget,497.95,0.9999999984435053
GM00199,123,13,4975.63,2,4,3,243,9,At Risk,Southeast Asia,40,F,Standard,3416.88,0.016005271372606353
GM00200,59,19,22046.14,3,5,5,355,13,Champions,North America,71,F,Premium,14685.57,0.00010752594095082625
GM00201,51,9,13888.23,4,3,5,435,12,Loyal Customers,North America,33,M,Premium,9316.85,4.801016118877595e-05
GM00202,56,5,1538.31,4,2,2,422,8,Recent Customers,Central Asia,18,F,Standard,976.55,9.798563857881985e-05
GM00203,85,9,4574.06,3,3,3,333,9,Potential Loyalists,Europe,29,F,Standard,3033.06,0.0007704340332484663
GM00204,187,10,16921.9,2,3,5,235,10,Potential Loyalists,Southeast Asia,41,M,Premium,11998.75,0.7373543341432254
GM00205,37,39,47786.81,4,5,5,455,14,Champions,North America,51,F,Premium,32765.34,2.4403594736386238e-05
GM00206,39,25,33648.21,4,5,5,455,14,Champions,Central Asia,70,M,Premium,22942.07,2.733256616035274e-05
GM00207,59,4,229.76,3,1,1,311,5,Potential Loyalists,Central Asia,25,M,Budget,156.78,0.00013726741756187264
GM00208,37,34,40356.69,4,5,5,455,14,Champions,North America,35,F,Premium,27650.51,2.04363863056891e-05
GM00209,39,18,6584.24,4,5,4,454,13,Champions,Central Asia,65,F,Standard,4580.61,1.939683552759682e-05
GM00210,257,3,2036.93,1,1,2,112,4,Lost,Europe,22,M,Standard,1346.73,0.998991610758961
GM00211,223,11,6792.2300000000005,1,3,4,134,8,Potential Loyalists,MENA,43,M,Standard,4629.41,0.9839368569992535
GM00212,27,18,35368.53,5,5,5,555,15,Champions,North America,47,F,Premium,24309.98,9.401344463044877e-06
GM00213,236,5,1534.55,1,2,2,122,5,Potential Loyalists,North America,71,M,Standard,1014.58,0.9946086835915195
GM00214,23,25,30728.46,5,5,5,555,15,Champions,Europe,30,M,Premium,20105.0,6.487013482898317e-06
GM00215,176,8,4853.02,2,3,3,233,8,Potential Loyalists,North America,36,M,Standard,3229.61,0.5303386645209788
GM00216,79,37,57432.37,3,5,5,355,13,Champions,Europe,46,F,Premium,39846.6,0.0011600791806430576
GM00217,126,18,8233.58,2,5,4,254,11,At Risk,Europe,20,M,Standard,5515.23,0.0163662220528131
GM00218,93,6,2631.95,3,2,2,322,7,Potential Loyalists,North America,43,M,Standard,1743.82,0.0018973408405607772
GM00219,42,17,7699.74,4,4,4,444,12,Loyal Customers,North America,57,F,Standard,5239.1,1.8559828760109946e-05
GM00220,115,11,6225.18,2,3,4,234,9,Potential Loyalists,North America,29,F,Standard,4177.2,0.008726047636966393
GM00221,33,12,2697.54,4,3,2,432,9,Loyal Customers,North America,19,F,Standard,1769.28,1.0246523101445172e-05
GM00222,345,6,847.9599999999999,1,2,2,122,5,Potential Loyalists,North America,28,M,Budget,574.56,0.9999992530079813
GM00223,103,15,6095.82,3,4,4,344,11,Potential Loyalists,Central Asia,61,F,Standard,4080.97,0.003215365993692349
GM00224,43,13,6717.53,4,4,4,444,12,Loyal Customers,Europe,45,M,Standard,4643.24,2.2945271473257673e-05
GM00225,562,1,325.24,1,1,1,111,3,Lost,Europe,35,M,Budget,236.54,0.9999999999999849
GM00226,13,12,6194.71,5,3,4,534,12,Loyal Customers,Europe,30,F,Standard,4173.95,2.0411808441718113e-06
GM00227,27,18,7513.34,5,5,4,554,14,Champions,Southeast Asia,54,M,Standard,5030.47,5.431823081447908e-06
GM00228,46,18,7474.59,4,5,4,454,13,Champions,MENA,39,M,Standard,4946.96,2.7222016879642904e-05
GM00229,38,31,47110.56,4,5,5,455,14,Champions,Southeast Asia,29,M,Premium,31145.3,2.770493681359363e-05
GM00230,23,36,36488.4,5,5,5,555,15,Champions,North America,19,M,Premium,24790.3,5.457606610529504e-06
GM00231,22,14,11455.04,5,4,5,545,14,Champions,North America,54,M,Premium,7539.74,5.237632422821274e-06
GM00232,31,19,26786.42,5,5,5,555,15,Champions,MENA,24,Other,Premium,18192.41,1.382762782067178e-05
GM00233,202,6,2345.88,1,2,2,122,5,Potential Loyalists,North America,43,M,Standard,1564.25,0.915543043237625
GM00234,259,1,6.0,1,1,1,111,3,Lost,MENA,43,M,Budget,3.97,0.9994457217078847
GM00235,203,14,4079.9,1,4,3,143,8,At Risk,Europe,41,M,Standard,2791.22,0.9050595769974781
GM00236,251,2,229.82,1,1,1,111,3,Lost,North America,29,F,Budget,151.95,0.9986281445193412
GM00237,344,5,158.51,1,2,1,121,4,Potential Loyalists,Europe,33,F,Budget,107.88,0.9999996011897617
GM00238,227,4,651.64,1,1,1,111,3,Lost,Central Asia,40,M,Budget,455.67,0.9914910820704351
GM00239,425,2,226.51,1,1,1,111,3,Lost,North America,57,F,Budget,151.71,0.9999999994659505
