transaction_id,customer_id,region,city,channel,category,order_date,quantity,unit_price,revenue,discount_pct,is_returned,payment_delayed
TXN0000019,GM00002,Southeast Asia,Singapore,Online,Sports,2023-11-20,3,41.51,124.53,5,0,0
TXN0000020,GM00003,North America,Los Angeles,In-Store,Food & Grocery,2023-08-30,3,63.96,191.88,15,0,0
TXN0000021,GM00003,North America,Los Angeles,In-Store,Food & Grocery,2023-04-28,5,148.58,742.88,0,0,0
TXN0000022,GM00003,North America,Los Angeles,In-Store,Fashion,2023-01-29,5,96.96,484.81,0,0,0
TXN0000023,GM00003,North America,Los Angeles,Online,Food & Grocery,2023-08-07,3,267.83,803.49,0,0,1
TXN0000024,GM00003,North America,Los Angeles,Mobile App,Beauty,2022-09-30,4,26.24,104.98,5,0,0
TXN0000025,GM00003,North America,Los Angeles,Mobile App,Home & Garden,2022-03-08,3,213.03,639.09,0,0,0
TXN0000026,GM00003,North America,Los Angeles,Online,Electronics,2024-01-03,3,196.23,588.68,20,0,0
TXN0000027,GM00003,North America,Los Angeles,Online,Electronics,2022-05-28,1,119.47,119.47,10,0,0
TXN0000028,GM00003,North America,Los Angeles,In-Store,Home & Garden,2022-11-23,1,226.89,226.89,10,0,0
TXN0000029,GM00003,North America,Los Angeles,Online,Home & Garden,2023-09-21,5,174.57,872.83,0,0,0
TXN0000030,GM00003,North America,Los Angeles,In-Store,Beauty,2022-11-29,3,290.06,870.18,0,1,0
TXN0000031,GM00003,North America,Los Angeles,Online,Fashion,2022-02-21,2,220.23,440.47,0,0,1
TXN0000032,GM00003,North America,Los Angeles,In-Store,Home & Garden,2023-08-06,2,286.39,572.78,0,0,0
TXN0000033,GM00003,North America,Los Angeles,Online,Food & Grocery,2023-06-29,5,69.03,345.16,0,1,0
TXN0000034,GM00003,North America,Los Angeles,Call Center,Electronics,2022-06-23,2,268.05,536.1,5,0,0
TXN0000035,GM00003,North America,Los Angeles,Mobile App,Electronics,2022-12-21,4,234.63,938.54,20,0,0
TXN0000036,GM00003,North America,Los Angeles,In-Store,Food & Grocery,2023-09-19,5,248.65,1243.27,5,1,0
TXN0000037,GM00004,North America,Toronto,In-Store,Home & Garden,2023-04-25,4,107.46,429.85,5,0,0
TXN0000038,GM00004,North America,Toronto,In-Store,Beauty,2022-08-21,5,38.77,193.87,0,0,0
TXN0000039,GM00004,North America,Toronto,In-Store,Beauty,2023-11-05,5,252.55,1262.75,15,0,0
TXN0000040,GM00004,North America,Toronto,Mobile App,Beauty,2022-03-15,4,206.87,827.46,0,0,0
TXN0000041,GM00004,North America,Toronto,In-Store,Fashion,2023-10-10,5,153.37,766.85,20,0,0
TXN0000042,GM00004,North America,Toronto,In-Store,Home & Garden,2022-12-16,3,201.53,604.59,0,0,0
TXN0000043,GM00004,North America,Toronto,Mobile App,Home & Garden,2022-04-18,5,117.71,588.53,10,0,0
TXN0000044,GM00004,North America,Toronto,Mobile App,Beauty,2024-01-30,5,269.23,1346.14,0,0,0
TXN0000045,GM00005,Europe,Berlin,Online,Fashion,2022-06-01,5,76.31,381.54,0,0,0
TXN0000046,GM00005,Europe,Berlin,In-Store,Sports,2024-03-30,2,75.31,150.62,15,0,0
TXN0000047,GM00005,Europe,Berlin,Online,Home & Garden,2023-05-13,1,39.87,39.87,20,0,0
TXN0000048,GM00005,Europe,Berlin,Online,Food & Grocery,2022-07-17,2,66.64,133.28,5,0,0
TXN0000049,GM00005,Europe,Berlin,In-Store,Food & Grocery,2022-06-24,4,55.54,222.15,0,1,0
TXN0000050,GM00005,Europe,Berlin,Online,Sports,2022-02-28,4,9.49,37.94,5,0,0
TXN0000051,GM00005,Europe,Berlin,In-Store,Food & Grocery,2022-02-16,1,39.02,39.02,15,0,0
TXN0000052,GM00006,Europe,Berlin,Online,Sports,2023-02-20,1,38.89,38.89,0,0,0
TXN0000053,GM00006,Europe,Berlin,Online,Electronics,2022-07-25,2,43.94,87.88,10,1,0
TXN0000054,GM00007,Central Asia,Astana,In-Store,Fashion,2023-06-29,3,26.12,78.35,10,0,1
TXN0000055,GM00007,Central Asia,Astana,In-Store,Beauty,2024-05-30,2,251.0,502.0,0,1,0
TXN0000056,GM00007,Central Asia,Astana,Call Center,Fashion,2023-11-10,4,116.9,467.61,20,0,0
TXN0000057,GM00007,Central Asia,Astana,Online,Food & Grocery,2022-06-08,3,210.09,630.28,5,0,0
TXN0000058,GM00007,Central Asia,Astana,Online,Sports,2024-03-01,3,149.58,448.74,0,0,0
TXN0000059,GM00007,Central Asia,Astana,Mobile App,Food & Grocery,2022-09-23,2,205.41,410.82,0,0,0
TXN0000060,GM00007,Central Asia,Astana,In-Store,Sports,2024-01-25,5,28.87,144.33,0,1,0
TXN0000061,GM00007,Central Asia,Astana,Online,Fashion,2023-12-27,1,249.22,249.22,0,0,0
TXN0000062,GM00007,Central Asia,Astana,Call Center,Food & Grocery,2024-03-24,1,276.58,276.58,5,0,0
TXN0000063,GM00007,Central Asia,Astana,Online,Electronics,2023-12-11,5,108.12,540.62,20,0,0
TXN0000064,GM00007,Central Asia,Astana,Online,Food & Grocery,2023-09-09,2,39.49,78.98,0,0,0
TXN0000065,GM00007,Central Asia,Astana,Online,Electronics,2022-07-01,4,282.32,1129.27,10,0,0
TXN0000066,GM00008,Southeast Asia,Singapore,Mobile App,Food & Grocery,2023-02-13,1,53.9,53.9,0,1,0
TXN0000067,GM00008,Southeast Asia,Singapore,Online,Food & Grocery,2022-10-05,3,21.61,64.83,5,0,0
TXN0000068,GM00008,Southeast Asia,Singapore,Online,Beauty,2023-09-06,5,56.94,284.7,5,0,0
TXN0000069,GM00008,Southeast Asia,Singapore,Online,Electronics,2023-03-28,4,58.5,233.99,0,0,0
TXN0000070,GM00008,Southeast Asia,Singapore,Mobile App,Food & Grocery,2022-06-13,5,66.31,331.56,5,0,0
TXN0000071,GM00009,North America,Chicago,In-Store,Electronics,2024-01-31,1,436.66,436.66,20,0,0
TXN0000072,GM00009,North America,Chicago,In-Store,Food & Grocery,2022-12-03,5,695.13,3475.67,5,0,0
TXN0000073,GM00009,North America,Chicago,Mobile App,Food & Grocery,2023-02-23,2,681.82,1363.64,10,0,0
TXN0000074,GM00009,North America,Chicago,In-Store,Food & Grocery,2024-01-27,3,345.92,1037.75,5,0,0
TXN0000075,GM00009,North America,Chicago,Mobile App,Electronics,2024-02-19,1,118.02,118.02,5,0,0
TXN0000076,GM00009,North America,Chicago,In-Store,Home & Garden,2022-06-24,3,763.6,2290.81,0,0,0
TXN0000077,GM00009,North America,Chicago,Online,Fashion,2022-04-15,3,100.76,302.28,0,0,0
TXN0000078,GM00009,North America,Chicago,Mobile App,Food & Grocery,2024-04-11,4,434.38,1737.52,0,1,0
TXN0000079,GM00009,North America,Chicago,In-Store,Food & Grocery,2022-02-26,3,667.81,2003.44,0,0,0
TXN0000080,GM00009,North America,Chicago,In-Store,Food & Grocery,2023-01-26,3,495.52,1486.56,10,0,0
TXN0000081,GM00009,North America,Chicago,In-Store,Sports,2022-10-03,1,427.24,427.24,0,0,0
TXN0000082,GM00009,North America,Chicago,Online,Sports,2023-09-23,1,200.39,200.39,0,0,0
TXN0000083,GM00009,North America,Chicago,Mobile App,Food & Grocery,2023-03-28,2,624.09,1248.17,0,0,0
TXN0000084,GM00009,North America,Chicago,Online,Food & Grocery,2023-01-16,4,742.95,2971.8,0,0,0
TXN0000085,GM00009,North America,Chicago,Online,Electronics,2024-03-21,2,523.91,1047.83,0,0,0
TXN0000086,GM00009,North America,Chicago,Online,Food & Grocery,2022-10-18,5,337.29,1686.45,10,0,0
TXN0000087,GM00009,North America,Chicago,Mobile App,Home & Garden,2022-12-17,2,109.98,219.96,15,0,1
TXN0000088,GM00010,North America,New York,Mobile App,Sports,2023-09-28,4,137.54,550.15,5,0,0
TXN0000089,GM00010,North America,New York,In-Store,Sports,2023-03-01,4,736.39,2945.57,10,0,0
TXN0000090,GM00010,North America,New York,In-Store,Fashion,2024-01-08,3,610.97,1832.9,10,0,0
TXN0000091,GM00010,North America,New York,Mobile App,Home & Garden,2024-05-31,2,771.89,1543.78,5,0,0
TXN0000092,GM00010,North America,New York,Mobile App,Sports,2023-01-03,2,643.74,1287.48,0,0,0
TXN0000093,GM00010,North America,New York,Mobile App,Home & Garden,2022-01-07,3,607.18,1821.53,10,0,0
TXN0000094,GM00010,North America,New York,Mobile App,Home & Garden,2022-01-09,5,663.73,3318.67,15,0,0
TXN0000095,GM00010,North America,New York,Mobile App,Home & Garden,2022-01-25,3,343.96,1031.89,0,0,0
TXN0000096,GM00010,North America,New York,Online,Electronics,2022-04-13,5,409.72,2048.58,0,1,0
TXN0000097,GM00010,North America,New York,In-Store,Electronics,2022-07-13,2,594.04,1188.09,5,0,0
TXN0000098,GM00010,North America,New York,In-Store,Food & Grocery,2023-12-13,5,584.11,2920.55,0,0,0
TXN0000099,GM00010,North America,New York,Online,Food & Grocery,2023-01-25,1,549.43,549.43,5,0,0
TXN0000100,GM00010,North America,New York,Online,Fashion,2023-05-13,2,363.18,726.37,0,0,0
TXN0000101,GM00010,North America,New York,Online,Home & Garden,2022-10-13,1,582.59,582.59,10,0,0
TXN0000102,GM00010,North America,New York,In-Store,Sports,2023-08-24,1,371.02,371.02,0,0,0
TXN0000103,GM00010,North America,New York,Call Center,Home & Garden,2023-03-29,4,302.49,1209.97,0,0,0
TXN0000104,GM00010,North America,New York,Mobile App,Sports,2022-06-11,5,440.29,2201.47,0,0,0
TXN0000105,GM00010,North America,New York,Online,Fashion,2022-12-13,5,616.08,3080.39,10,0,0
TXN0000106,GM00010,North America,New York,Online,Home & Garden,2023-03-28,2,223.75,447.5,5,0,0
TXN0000107,GM00010,North America,New York,Mobile App,Home & Garden,2024-03-22,5,564.31,2821.57,0,0,0
TXN0000108,GM00010,North America,New York,Mobile App,Beauty,2022-05-27,4,239.84,959.35,0,0,0
TXN0000109,GM00010,North America,New York,In-Store,Home & Garden,2022-07-01,2,241.55,483.11,15,0,0
TXN0000110,GM00010,North America,New York,Call Center,Home & Garden,2022-08-19,3,294.28,882.83,0,0,0
TXN0000111,GM00010,North America,New York,In-Store,Food & Grocery,2023-09-29,5,521.88,2609.39,15,0,0
TXN0000112,GM00010,North America,New York,Mobile App,Fashion,2024-01-01,2,537.73,1075.47,10,0,0
TXN0000113,GM00010,North America,New York,In-Store,Food & Grocery,2024-04-27,1,242.92,242.92,5,0,1
TXN0000114,GM00010,North America,New York,Online,Electronics,2022-12-07,1,321.07,321.07,10,0,1
TXN0000115,GM00010,North America,New York,Online,Beauty,2022-11-17,3,252.62,757.86,10,0,0
TXN0000116,GM00010,North America,New York,Online,Fashion,2023-06-27,4,327.27,1309.09,0,0,0
TXN0000117,GM00010,North America,New York,Online,Fashion,2023-03-25,3,208.68,626.04,0,0,0
TXN0000118,GM00010,North America,New York,Call Center,Electronics,2022-02-06,5,731.36,3656.78,10,0,0
TXN0000119,GM00011,Central Asia,Astana,Online,Food & Grocery,2022-02-01,2,41.94,83.88,10,0,0
TXN0000120,GM00011,Central Asia,Astana,Online,Sports,2022-01-16,3,59.13,177.38,0,0,0
TXN0000121,GM00011,Central Asia,Astana,In-Store,Fashion,2024-01-25,4,59.34,237.38,15,0,0
TXN0000122,GM00012,Southeast Asia,Singapore,Online,Fashion,2024-05-08,1,430.68,430.68,0,0,0
TXN0000123,GM00012,Southeast Asia,Singapore,Online,Sports,2023-06-11,5,265.63,1328.17,0,0,0
TXN0000124,GM00012,Southeast Asia,Singapore,In-Store,Food & Grocery,2024-02-04,2,174.97,349.94,5,0,0
TXN0000125,GM00012,Southeast Asia,Singapore,Call Center,Sports,2023-02-01,1,730.1,730.1,0,0,0
TXN0000126,GM00012,Southeast Asia,Singapore,In-Store,Food & Grocery,2024-04-23,2,704.04,1408.07,0,0,0
TXN0000127,GM00012,Southeast Asia,Singapore,Mobile App,Electronics,2023-07-11,2,649.53,1299.05,5,1,0
TXN0000128,GM00012,Southeast Asia,Singapore,Mobile App,Food & Grocery,2023-10-10,1,230.9,230.9,5,0,0
TXN0000129,GM00012,Southeast Asia,Singapore,Call Center,Beauty,2023-11-29,3,588.21,1764.63,10,0,0
TXN0000130,GM00013,North America,Toronto,In-Store,Beauty,2023-02-21,5,588.46,2942.29,5,0,0
TXN0000131,GM00013,North America,Toronto,Mobile App,Home & Garden,2023-02-02,5,727.37,3636.86,0,0,0
TXN0000132,GM00013,North America,Toronto,Online,Electronics,2022-11-26,5,357.37,1786.84,0,0,0
TXN0000133,GM00013,North America,Toronto,In-Store,Electronics,2022-06-13,5,546.76,2733.81,10,0,0
TXN0000134,GM00013,North America,Toronto,Online,Fashion,2023-07-21,2,104.73,209.46,0,0,0
TXN0000135,GM00013,North America,Toronto,Online,Sports,2024-05-17,4,148.15,592.6,0,0,0
TXN0000136,GM00013,North America,Toronto,Online,Fashion,2023-06-22,1,147.47,147.47,0,0,0
TXN0000137,GM00013,North America,Toronto,Mobile App,Food & Grocery,2023-07-06,4,663.31,2653.24,15,1,0
TXN0000138,GM00013,North America,Toronto,Online,Electronics,2022-02-28,4,686.91,2747.63,5,0,0
TXN0000139,GM00013,North America,Toronto,Online,Electronics,2023-12-20,1,687.01,687.01,5,0,0
TXN0000140,GM00013,North America,Toronto,Call Center,Home & Garden,2022-07-08,4,502.89,2011.55,15,0,0
TXN0000141,GM00013,North America,Toronto,Online,Fashion,2024-05-03,4,685.46,2741.86,0,0,0
TXN0000142,GM00013,North America,Toronto,In-Store,Fashion,2024-06-08,5,473.58,2367.89,0,0,0
TXN0000143,GM00013,North America,Toronto,In-Store,Home & Garden,2023-01-26,3,620.35,1861.06,5,0,0
TXN0000144,GM00013,North America,Toronto,Online,Fashion,2023-06-14,5,284.08,1420.38,0,0,0
TXN0000145,GM00013,North America,Toronto,Online,Home & Garden,2024-01-11,3,186.0,557.99,0,0,0
TXN0000146,GM00013,North America,Toronto,Online,Sports,2022-10-18,4,194.38,777.51,0,0,0
TXN0000147,GM00013,North America,Toronto,Online,Home & Garden,2023-01-20,2,667.47,1334.93,5,0,0
TXN0000148,GM00013,North America,Toronto,In-Store,Food & Grocery,2023-03-03,5,475.74,2378.72,0,0,0
TXN0000149,GM00013,North America,Toronto,In-Store,Sports,2022-08-21,1,136.03,136.03,0,0,0
TXN0000150,GM00013,North America,Toronto,Mobile App,Sports,2022-09-03,2,486.91,973.83,0,0,0
TXN0000151,GM00013,North America,Toronto,Mobile App,Beauty,2023-06-29,5,446.59,2232.95,0,0,0
TXN0000152,GM00013,North America,Toronto,In-Store,Beauty,2024-03-02,2,107.59,215.18,0,0,0
TXN0000153,GM00013,North America,Toronto,Online,Home & Garden,2022-07-23,4,376.89,1507.55,0,0,0
TXN0000154,GM00013,North America,Toronto,Call Center,Sports,2022-02-28,1,611.16,611.16,10,0,0
TXN0000155,GM00013,North America,Toronto,Mobile App,Home & Garden,2023-01-15,3,371.4,1114.2,15,0,0
TXN0000156,GM00013,North America,Toronto,Online,Beauty,2022-11-16,2,153.12,306.24,5,0,0
TXN0000157,GM00013,North America,Toronto,Online,Fashion,2023-01-29,4,736.09,2944.35,0,0,0
TXN0000158,GM00013,North America,Toronto,Online,Food & Grocery,2023-06-22,5,224.92,1124.58,0,0,0
TXN0000159,GM00013,North America,Toronto,In-Store,Home & Garden,2023-08-13,2,237.28,474.56,5,0,0
TXN0000160,GM00013,North America,Toronto,In-Store,Electronics,2022-02-26,5,519.83,2599.14,5,0,0
TXN0000161,GM00013,North America,Toronto,Online,Electronics,2023-10-19,2,212.46,424.92,10,0,0
TXN0000162,GM00014,Europe,Berlin,Mobile App,Sports,2023-05-04,1,111.65,111.65,0,0,0
TXN0000163,GM00014,Europe,Berlin,In-Store,Beauty,2022-08-31,2,63.26,126.51,15,0,1
TXN0000164,GM00014,Europe,Berlin,Online,Beauty,2022-08-19,2,45.97,91.94,0,0,0
TXN0000165,GM00014,Europe,Berlin,Mobile App,Electronics,2022-09-26,2,278.79,557.57,5,0,0
TXN0000166,GM00014,Europe,Berlin,Online,Fashion,2022-04-01,4,88.54,354.15,0,0,0
TXN0000167,GM00014,Europe,Berlin,In-Store,Sports,2023-03-02,2,174.6,349.2,5,0,0
TXN0000168,GM00014,Europe,Berlin,Online,Sports,2022-07-10,1,126.84,126.84,10,0,0
TXN0000169,GM00014,Europe,Berlin,Mobile App,Food & Grocery,2023-03-11,4,194.94,779.77,10,0,0
TXN0000170,GM00014,Europe,Berlin,Online,Food & Grocery,2023-06-29,2,290.78,581.57,0,0,0
TXN0000171,GM00014,Europe,Berlin,Online,Sports,2023-12-24,2,270.2,540.39,0,0,0
TXN0000172,GM00014,Europe,Berlin,Mobile App,Sports,2023-05-04,2,158.04,316.07,5,0,0
TXN0000173,GM00014,Europe,Berlin,Online,Fashion,2023-01-18,1,229.16,229.16,0,0,0
TXN0000174,GM00014,Europe,Berlin,In-Store,Beauty,2022-11-18,4,123.11,492.45,0,0,0
TXN0000175,GM00014,Europe,Berlin,Online,Sports,2022-08-10,2,157.1,314.2,0,0,0
TXN0000176,GM00014,Europe,Berlin,Online,Electronics,2024-03-11,2,58.18,116.37,15,0,1
TXN0000177,GM00014,Europe,Berlin,Online,Electronics,2024-01-15,2,242.61,485.22,0,0,0
TXN0000178,GM00014,Europe,Berlin,In-Store,Food & Grocery,2022-06-23,2,61.73,123.47,0,0,0
TXN0000179,GM00014,Europe,Berlin,Mobile App,Electronics,2022-06-17,2,40.85,81.71,0,0,0
TXN0000180,GM00015,Europe,Warsaw,Mobile App,Fashion,2023-01-11,1,105.51,105.51,20,0,0
TXN0000181,GM00015,Europe,Warsaw,Call Center,Home & Garden,2022-10-13,1,262.62,262.62,0,0,0
TXN0000182,GM00015,Europe,Warsaw,Mobile App,Sports,2022-01-28,2,252.06,504.13,10,0,0
TXN0000183,GM00015,Europe,Warsaw,Online,Electronics,2024-02-08,5,173.54,867.72,0,0,1
TXN0000184,GM00015,Europe,Warsaw,Mobile App,Beauty,2022-03-07,3,212.64,637.91,5,0,0
TXN0000185,GM00015,Europe,Warsaw,Online,Home & Garden,2022-03-23,1,290.74,290.74,0,0,1
TXN0000186,GM00015,Europe,Warsaw,In-Store,Home & Garden,2023-12-21,3,130.4,391.2,0,0,0
TXN0000187,GM00015,Europe,Warsaw,Online,Electronics,2023-04-04,2,151.24,302.48,10,0,1
TXN0000188,GM00015,Europe,Warsaw,In-Store,Electronics,2023-02-09,2,135.63,271.27,5,0,0
TXN0000189,GM00015,Europe,Warsaw,Online,Home & Garden,2022-09-05,5,274.56,1372.79,5,0,0
TXN0000190,GM00015,Europe,Warsaw,In-Store,Food & Grocery,2024-04-15,4,212.19,848.74,5,0,0
TXN0000191,GM00015,Europe,Warsaw,Online,Electronics,2024-02-01,2,159.47,318.94,0,0,0
TXN0000192,GM00015,Europe,Warsaw,In-Store,Fashion,2023-10-16,4,56.27,225.08,0,0,0
TXN0000193,GM00016,Europe,Warsaw,In-Store,Fashion,2024-01-23,3,34.53,103.6,5,0,0
TXN0000194,GM00016,Europe,Warsaw,In-Store,Food & Grocery,2022-09-13,5,248.03,1240.14,5,0,0
TXN0000195,GM00016,Europe,Warsaw,Online,Beauty,2022-07-30,3,260.97,782.92,0,0,0
TXN0000196,GM00016,Europe,Warsaw,Online,Beauty,2023-11-21,4,286.7,1146.82,10,0,0
TXN0000197,GM00016,Europe,Warsaw,Online,Home & Garden,2022-02-28,3,28.47,85.4,5,0,0
TXN0000198,GM00016,Europe,Warsaw,Online,Home & Garden,2023-08-23,5,271.99,1359.93,5,0,0
TXN0000199,GM00016,Europe,Warsaw,Online,Sports,2022-07-31,5,149.05,745.27,10,0,0
TXN0000200,GM00016,Europe,Warsaw,Mobile App,Sports,2023-02-28,4,210.86,843.45,20,0,0
TXN0000201,GM00016,Europe,Warsaw,Mobile App,Food & Grocery,2023-03-06,4,148.43,593.73,5,0,0
TXN0000202,GM00016,Europe,Warsaw,Mobile App,Food & Grocery,2023-10-23,2,103.25,206.51,15,0,0
TXN0000203,GM00016,Europe,Warsaw,Mobile App,Sports,2023-07-19,3,52.73,158.18,10,0,0
TXN0000204,GM00016,Europe,Warsaw,Online,Home & Garden,2023-08-05,3,265.67,797.02,0,0,0
TXN0000205,GM00016,Europe,Warsaw,Online,Food & Grocery,2024-02-11,2,286.26,572.53,0,1,0
TXN0000206,GM00016,Europe,Warsaw,Online,Electronics,2024-04-16,5,185.98,929.92,0,0,0
TXN0000207,GM00016,Europe,Warsaw,Online,Beauty,2023-03-18,2,21.28,42.57,10,0,0
TXN0000208,GM00016,Europe,Warsaw,Mobile App,Food & Grocery,2023-05-01,3,56.45,169.34,0,0,1
TXN0000209,GM00016,Europe,Warsaw,Call Center,Food & Grocery,2022-01-10,4,222.99,891.97,0,0,0
TXN0000210,GM00016,Europe,Warsaw,Online,Beauty,2022-06-01,5,36.93,184.63,0,1,0
TXN0000211,GM00016,Europe,Warsaw,Online,Sports,2023-06-27,4,87.3,349.19,20,0,0
TXN0000212,GM00017,Europe,London,Online,Electronics,2022-09-10,4,127.32,509.26,15,0,0
TXN0000213,GM00017,Europe,London,Mobile App,Sports,2023-01-21,4,135.99,543.95,0,0,0
TXN0000214,GM00017,Europe,London,Online,Food & Grocery,2022-07-26,3,48.33,144.98,0,0,0
TXN0000215,GM00017,Europe,London,Mobile App,Sports,2022-03-06,1,25.05,25.05,0,0,0
TXN0000216,GM00017,Europe,London,Online,Home & Garden,2024-06-06,4,25.31,101.25,5,0,0
TXN0000217,GM00017,Europe,London,Mobile App,Sports,2022-09-06,4,53.73,214.91,10,0,0
TXN0000218,GM00018,MENA,Riyadh,Online,Food & Grocery,2024-05-26,5,207.93,1039.66,0,0,0
TXN0000219,GM00018,MENA,Riyadh,In-Store,Electronics,2023-09-07,2,78.2,156.4,0,0,0
TXN0000220,GM00018,MENA,Riyadh,In-Store,Food & Grocery,2022-04-09,3,80.84,242.53,10,1,0
TXN0000221,GM00018,MENA,Riyadh,In-Store,Home & Garden,2023-02-02,4,43.28,173.1,0,0,0
TXN0000222,GM00018,MENA,Riyadh,Online,Sports,2023-07-11,4,192.11,768.44,0,0,0
TXN0000223,GM00018,MENA,Riyadh,Call Center,Sports,2022-08-22,5,226.86,1134.29,10,0,0
TXN0000224,GM00018,MENA,Riyadh,Call Center,Sports,2024-01-31,3,195.9,587.71,0,0,0
TXN0000225,GM00018,MENA,Riyadh,In-Store,Food & Grocery,2022-08-01,1,260.35,260.35,0,0,0
TXN0000226,GM00018,MENA,Riyadh,In-Store,Food & Grocery,2022-03-09,2,167.28,334.56,0,0,0
TXN0000227,GM00018,MENA,Riyadh,Online,Food & Grocery,2022-01-20,5,72.84,364.18,15,0,0
TXN0000228,GM00018,MENA,Riyadh,In-Store,Fashion,2023-03-12,2,222.58,445.17,20,0,0
TXN0000229,GM00018,MENA,Riyadh,Online,Sports,2023-01-18,1,242.02,242.02,10,0,0
TXN0000230,GM00018,MENA,Riyadh,Mobile App,Electronics,2024-01-02,1,130.67,130.67,15,0,1
TXN0000231,GM00018,MENA,Riyadh,Online,Electronics,2022-04-16,4,295.08,1180.31,0,0,0
TXN0000232,GM00018,MENA,Riyadh,Online,Home & Garden,2023-10-30,2,281.45,562.91,0,0,0
TXN0000233,GM00019,MENA,Istanbul,Mobile App,Home & Garden,2024-04-10,1,244.65,244.65,0,0,1
TXN0000234,GM00019,MENA,Istanbul,In-Store,Fashion,2024-01-15,5,291.15,1455.76,5,0,0
TXN0000235,GM00019,MENA,Istanbul,Online,Food & Grocery,2024-06-18,4,37.84,151.35,0,1,0
TXN0000236,GM00019,MENA,Istanbul,Mobile App,Sports,2022-09-11,1,211.73,211.73,0,0,0
TXN0000237,GM00019,MENA,Istanbul,Online,Food & Grocery,2024-04-19,4,281.73,1126.93,0,0,0
TXN0000238,GM00019,MENA,Istanbul,Online,Fashion,2023-11-21,4,249.1,996.4,0,0,0
TXN0000239,GM00019,MENA,Istanbul,Mobile App,Sports,2022-07-25,3,132.38,397.15,5,0,0
TXN0000240,GM00019,MENA,Istanbul,In-Store,Beauty,2023-05-03,1,224.85,224.85,0,0,0
TXN0000241,GM00019,MENA,Istanbul,Online,Sports,2022-04-24,4,32.03,128.1,5,0,0
TXN0000242,GM00019,MENA,Istanbul,Online,Sports,2023-04-18,3,23.59,70.76,0,0,0
TXN0000243,GM00019,MENA,Istanbul,Online,Food & Grocery,2022-09-19,3,261.56,784.69,0,0,0
TXN0000244,GM00019,MENA,Istanbul,Mobile App,Beauty,2023-11-17,2,226.25,452.51,20,0,0
TXN0000245,GM00020,Europe,Berlin,Mobile App,Beauty,2023-03-30,4,78.57,314.28,0,0,0
TXN0000246,GM00021,North America,Chicago,Mobile App,Home & Garden,2023-12-21,4,32.52,130.06,0,0,0
TXN0000247,GM00021,North America,Chicago,Online,Food & Grocery,2022-11-24,3,50.98,152.94,0,1,0
TXN0000248,GM00021,North America,Chicago,Online,Fashion,2022-02-21,1,8.7,8.7,10,1,0
TXN0000249,GM00022,Europe,Warsaw,Mobile App,Home & Garden,2023-11-25,4,179.51,718.02,0,0,0
TXN0000250,GM00022,Europe,Warsaw,Mobile App,Food & Grocery,2023-07-26,2,48.89,97.79,0,0,0
TXN0000251,GM00022,Europe,Warsaw,In-Store,Home & Garden,2022-11-30,3,296.31,888.93,0,1,0
TXN0000252,GM00022,Europe,Warsaw,Online,Food & Grocery,2022-03-27,1,289.77,289.77,10,0,0
TXN0000253,GM00022,Europe,Warsaw,Online,Food & Grocery,2022-01-03,3,92.11,276.34,5,0,0
TXN0000254,GM00022,Europe,Warsaw,Online,Sports,2022-07-23,3,52.15,156.45,5,0,0
